,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.0032926924354307846 0.00732291822172672 0.011230586074874482,0.34355075992506506
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-1.0604359757640212 0.057387098473183164 -1.0387066214463194,0.30169955427439726
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.4830169127727532 0.20728642029869823 1.033887741776819,2.2104714780189156
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,8.308753579166783 -6.605526803517285 -9.288063875204093,12.632976306705542
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.8908432327720905 -0.6128238755001361 -5.589776507820566,5.134613396530049
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-0.7578213727049328 0.37510822210759304 -0.7762061121775173,0.17774426928929435
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.04633048818316738 -0.009339291703297168 0.26028714144101883,1.017753488890683
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-9.809484171329101 -12.906284311986383 4.204489886591526,18.047328125783668
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.002629769205840261 0.18426406523477892 0.30605900413724435,0.10678882039388868
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-2.4716290142527657 2.730313211991441 -1.0507450244804906,2.8626135613562362
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,2.0415577594306034 -0.5941024510727093 -2.8455260167938716,2.3129587296558918
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,1.0392684113381714 0.7176491086463496 -1.266443243357734,0.5301163313213978
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-0.20063199114462216 0.25895995619290896 0.5363429419932134,1.2168663444761179
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.3479764823335865 -2.4723070804799305 -1.3482045475772002,1.93135453701533
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.15244780085520995 0.029540768789661945 -0.1413180714265886,1.3973057373882152
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,9.800815769310313 -0.3883601600225375 6.420183574831708,10.545626188717865
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,0.9928965212529914 -0.7145169008059011 -0.040777109499193755,2.0985085399895658
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,-0.14030090278251578 0.9073159281859965 0.8875389770153687,2.5974523111347327
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.07766903099989145 0.22200218478940126 0.4160526471099794,1.5656661148199884
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.14703749138571517 -0.15129168339874827 -0.024619427755186118,1.0967961399363777
