,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.19521299888027296 -0.434151945452274 -0.6658248317603481,1.175535897103457
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-1.0379645556931858 0.056171023551254765 -1.016695662412171,0.27604075360110863
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.42753433305021804 0.18347610427145752 0.9151284239550187,2.0775283165985914
3,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.23160559723851837 0.6620006447161295 1.2406504957775013,2.5121270470695265
4,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,13.928816055094833 -11.07352226980084 -15.570534375947009,22.17328351366548
5,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.9875801180634227 -0.6793705705494689 -6.196771710734747,5.752850542868332
6,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.6472157378973611 -0.3203603824159514 0.6629171856954464,2.2943480407263266
7,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.8749358638538238 -0.900250123018917 -0.1464961084929342,0.14952542372789926
8,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.30025941212079155 -0.06052623977045448 1.6868733125086324,2.4676639745407845
9,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-14.461927290212833 -19.02747810657532 6.198595764091364,25.990278086816144
10,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0022178546685068102 0.15540181868865555 0.25811937779819155,0.16258919829342638
11,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-3.397342017750998 3.7529126512230704 -1.444286420423654,4.297012101146716
12,0.9541327587482906 0.13608780198425108 -0.9391925865348623,2.72920812097633 -0.7942117859118533 -3.8039740377706646,3.4961868697444327
13,0.728418941381578 0.5067792244623781 -0.8923712934529042,1.227055055995091 0.8473219791805389 -1.4952783784623938,0.8532902763670366
14,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-0.39938213610985795 0.5154909737036292 1.0676552061245737,1.8394431725854814
15,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.8280873265998485 -3.3528724725703047 -1.8283966221899068,3.043055464175494
16,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.8034761094287417 0.15569461706564458 -0.7448168722988041,2.293419926287997
17,0.9520747800077907 0.07365724178413768 0.7020934621422159,10.266842775267051 -0.40682661494508726 6.725462135259336,11.103005796376596
18,-0.7073921477505916 0.5140617089953401 0.017111870505752913,4.425237547205864 -3.184528246276114 -0.1817393778302689,6.329533715981651
19,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,-0.2334447185860761 1.5096703394159472 1.4767637457379694,3.4451941763967078
