,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.24265844000969614 -0.5396701777796908 -0.8276498794723016,1.3744460342303704
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.4050866931985412 0.021921879758947285 -0.3967860767661761,0.6874591256898958
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.7355356998276861 0.315654707293677 1.5743989984235933,2.8158750159770696
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,12.839914354345664 -10.207836544239157 -14.353289400029588,20.324823985432015
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.8625311048318925 -0.5933475553916271 -5.412126319970938,4.953673489532289
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.39152795371548704 -0.19379943600617422 0.40102641824097374,1.907263576361215
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.2826642881823961 -0.05697941776489561 1.588022972423303,2.3671973522466327
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-12.575340795149696 -16.545306642798987 5.389976911139144,22.769375053923437
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0028758897121263934 0.20150936756975482 0.33470311362198507,0.07356296415159629
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-7.073090180722577 7.813369829643386 -3.006929548180167,9.99263812764962
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,3.8008204449857916 -1.106055771394442 -5.297588770834271,5.351837884239194
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,-1.213057224939985 -0.8376560152485217 1.4782207460278847,3.346123493809047
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-0.9970651737415469 1.2869331168999214 2.6654217285718746,3.711662198366813
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.8196009718299204 -3.3373077537045597 -1.819908831606674,3.0234034903910523
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.39545191790232415 0.07662920428269127 -0.36658123020731154,1.7317274151356588
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,4.501395995235362 -0.17836911846751646 2.948712567674045,4.208146359202215
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,1.9397426468093957 -1.3958946120691824 -0.07966298261311812,3.2656731528339833
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,-0.012357848914810982 0.07991732723134877 0.078175352876836,1.4330174026068432
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.671340244661687 1.9188986798632 3.596193776427401,5.217334548362014
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.025316202261663298 -0.02604866841330233 -0.004238853687878212,1.2712944249132936
