,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.20943376917387013 -0.465778810078137 -0.7143284767150784,1.235154397682567
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.9437964418720234 0.051074973488453496 -0.924457143924829,0.1887618311782344
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.8077110415580718 0.3466287121897864 1.728888829111377,2.988983069460052
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,13.032270638064864 -10.360761357308359 -14.568317735261544,20.651357408852505
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.8789689286934678 -0.6046553709006398 -5.515268779026508,5.058725906648172
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.376936085647303 -0.18657671850911006 0.3860805515888036,1.885175360828616
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.32481646929707525 -0.0654764470602448 1.8248361630045782,2.6078826382828715
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-13.01205333786603 -17.119886930657668 5.577158360961464,23.514958958772144
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.003209675813992997 0.2248972694100452 0.37354996060204315,0.02927603497522286
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-7.455418796580001 8.23571350063056 -3.169466032625084,10.585062691470629
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,3.9123997863537476 -1.1385258594385195 -5.453108210503611,5.545396113246769
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,-1.3092822774903226 -0.9041025871242905 1.59547973929143,3.5117255736724586
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-1.044886652324542 1.3486573111736344 2.7932613236800177,3.8614611524403224
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.8421414770588829 -3.3786490170021852 -1.8424531504821533,3.0756009491828653
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.39544680119231634 0.07662821278562502 -0.36657648705203943,1.731720372474196
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,4.951627975048624 -0.19620969090997215 3.2436443396508667,4.7464444360266205
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,1.9848354174023133 -1.4283446670377946 -0.0815148904451337,3.321258651505326
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,-0.02403248115919057 0.1554163410007703 0.15202869917546413,1.5392673308900153
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.5205533205810469 1.4879028742940217 2.7884677354856824,4.289612688405307
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.01845866082980492 -0.018992719774455324 -0.003090651659478841,1.2811361806488977
