,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.23542446595296435 -0.5235818848478888 -0.802976524793517,1.344117991758896
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.4068944543192605 0.02201970948919193 -0.3985567951207015,0.685002954554087
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.7662370632426688 0.3288301791090403 1.6401146337382508,2.889507385948085
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,12.942923462217856 -10.28972962441935 -14.468439664690662,20.499686568198598
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.8730189143207783 -0.6005622704167233 -5.477934207310494,5.020699975857988
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.40367618585993964 -0.19981259679258848 0.4134693663845687,1.92565300538386
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.2951012849822372 -0.059486465404184036 1.6578946804947468,2.4382115180161072
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-12.767261512607742 -16.79781567401936 5.472236966967381,23.097034508484857
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0029940945261488186 0.20979180525049176 0.3484600804248465,0.057691766612913434
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-7.2346839528855735 7.991876235162966 -3.075626691282218,10.243030364389943
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,3.864900460469468 -1.124703342881348 -5.386903584668493,5.462993323011987
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,-1.2479495284844244 -0.8617503014445609 1.5207401968136007,3.4061726991472097
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-1.0258033397615949 1.3240260758600493 2.742246528160149,3.8016834049709796
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.8350751052745768 -3.3656886714586194 -1.8353855831326251,3.0592371934879585
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.3808869140209314 0.07380685191245669 -0.3530795709685921,1.7116802289566602
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,4.6870899670071084 -0.18572729581621394 3.070354420309147,4.430155612553519
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,1.962477925861239 -1.4122555729340476 -0.08059669417675804,3.2936987482525146
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,-0.018131380263646652 0.11725434253765794 0.11469852561119101,1.4855617261400687
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.6817802898757301 1.948739567756097 3.6521183629882477,5.281569029363313
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.023040687683193107 -0.023707317048213727 -0.0038578497259460763,1.2745600706378688
