,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.26861701719465914 -0.5974018188623459 -0.9161883753002172,1.4832767765445176
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.37360621033564473 0.02021826576307658 -0.36595065931208703,0.7303145489511162
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.994371636379704 0.426733995231098 2.12843198330658,3.436770474731002
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,6.688762859431636 -5.31762098001434 -7.4771331334541635,9.882970786205929
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.7738091868433247 -0.5323144716532346 -4.855422654660439,4.386662642970482
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.7187960473265942 -0.3557913739068255 0.7362340327674831,2.4027240247078736
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.2734424845755278 -0.05512048820700781 1.53621439034507,2.3145416611078313
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-11.715249240349364 -15.41368891991851 5.021328959774865,21.300971369497677
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0031109286641362406 0.21797820167492046 0.3620575245816383,0.04214408708999378
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-8.650136379059928 9.555471919565283 -3.677367318866321,12.436297808604028
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,4.7045663674417595 -1.3690498822384112 -6.557231082221566,6.920516472106861
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,-1.0622312775734688 -0.7335057249987198 1.2944255879325821,3.086553994820237
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-1.458715878342331 1.8827954495110233 3.8995374628883623,5.157765431479031
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.813558188636802 -3.326224759401656 -1.813865026030125,3.0094101549982115
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.24009961468714927 0.04652561181053988 -0.2225707049069274,1.5179187383385118
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,4.11075080494746 -0.1628896897971702 2.692814090107837,3.7411438491425377
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,1.0652332685639079 -0.766572505188269 -0.04374789588304597,2.1876765684777815
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.14364791867107535 -0.9289608411363377 -0.9087120913636862,0.022245320838438273
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.8492193745301044 2.427332414014995 4.549045664684878,6.311792589949952
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.5235335291541623 -0.5386807690675544 -0.08765856773642383,0.5623441628327008
