,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.27872912189673804 -0.6198910483409485 -0.9506783449775649,1.5256718506744802
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,0.1361731463511017 -0.007369215999507778 0.13338282745090868,1.4348266339948443
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-1.043709241766007 0.44790719918358163 2.2340381102736484,3.555146256515994
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,12.591679704655629 -10.010487974870019 -14.07579660157411,19.903434531753227
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.7750721084923111 -0.5331832536239708 -4.863347112640272,4.394733796817976
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.7585207193246176 -0.375454386357634 0.7769224249397086,2.4628706571127212
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.282068546081404 -0.056859328176391735 1.584676061683009,2.3637957169534243
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-11.282648035561245 -14.844517896734443 4.835909690148529,20.562406885718982
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.003287006351415292 0.2303157065719745 0.3825498786253829,0.019714601059746383
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-10.010702140909475 11.058436423517783 -4.255774392297656,14.54451787584516
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,4.710083739320784 -1.3706554621646547 -6.5649212027452535,6.93009851991803
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,-3.140503444192902 -2.1686211885569002 3.82698956713081,6.663234554478215
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-1.5131070465416796 1.952999281182272 4.044939594443037,5.328143697026866
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.8541331347198744 -3.4006427687704917 -1.8544468370215133,3.1033703604903002
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.14250116588514217 0.027613346798412496 -0.1320976086631456,1.3836198807976154
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,0.810336913142656 -0.032109834596186534 0.530824358124262,0.24618977099106432
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,0.9228250160040359 -0.6640914297788642 -0.037899353981726225,2.0121329613679366
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.17467658408706824 -1.1296210065660977 -1.104998426057852,0.27001192137359165
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-1.0366699262231864 2.963124240951795 5.553169151615491,7.465175799615805
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.30444019242242804 -0.31324846997697603 -0.05097436886662706,0.8719408672056215
