,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.26116789427634074 -0.5808350368065847 -0.8907811993319129,1.45204637721341
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,0.16740059747156275 -0.009059136799512018 0.16397039802662838,1.478282576166164
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.3964971094578377 0.17015649826109497 0.8486938868562215,2.003175629547284
3,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.9132122803161355 2.6102439903875783 4.89183889263921,6.7055378804047026
4,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,12.020787991424516 -9.5566244106515 -13.437616801464184,18.934320254451663
5,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.7015798610053416 -0.4826268793177609 -4.402205103140723,3.9250566086828735
6,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,1.0937121595986496 -0.5413682411992967 1.1202456064456918,2.970414859668095
7,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.050525074445444705 -0.05198690139949651 -0.008459736414245403,1.2351241826627348
8,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.27758597086325953 -0.05595573144806213 1.5594927162105325,2.3382006047632786
9,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-10.499814228475948 -13.814547767131943 4.500375551218763,19.225903171294384
10,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0036398820396499588 0.25504118768728945 0.4236184185890784,0.03244803920813757
11,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-9.220758114932135 10.185815735533303 -3.9199514390440022,13.320485970318785
12,0.9541327587482906 0.13608780198425108 -0.9391925865348623,4.599553373736063 -1.3384906307713174 -6.410863826967268,6.738149536623597
13,0.728418941381578 0.5067792244623781 -0.8923712934529042,-2.8918881184927714 -1.996944107893218 3.5240291422847396,6.235370601779939
14,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-1.3371596166714383 1.7259002105330203 3.574585083009583,4.776995068101699
15,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.7494269800271167 -3.2086024987736526 -1.7497229670087995,2.8609021919962445
16,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,0.017156136494813505 0.0033244524268245036 -0.015903621495209748,1.2111799180777587
17,0.9520747800077907 0.07365724178413768 0.7020934621422159,0.8071558893043842 -0.031983785606393755 0.5287405767862259,0.24942480713048554
18,-0.7073921477505916 0.5140617089953401 0.017111870505752913,3.9842180085661387 -2.867157898814283 -0.16362721645850617,5.785889604256827
19,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.18776093854623505 -1.2142365933184942 -1.1877696295304112,0.38891552293541476
