,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.24927289976927072 -0.5543806765129043 -0.8502102191108796,1.4021768889991975
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,0.1893952863277563 -0.010249412689923985 0.18551439452780302,1.5089002794713728
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.32736465945965043 0.1404883485386752 0.7007173031754923,1.837612876009389
3,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.9116679957567971 2.6058299460549 4.883566564910482,6.696035929862226
4,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,11.857570713445142 -9.42686534459938 -13.255161937570943,18.65725161227256
5,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.6847290455812531 -0.47103496097159625 -4.296471244780383,3.8173662009078897
6,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.7416000499323202 -0.36707895325265305 0.7595912602649033,2.437251150779071
7,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,0.1451892613116477 0.1493899790335641 0.02430996677108856,1.5162478100811707
8,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.29378314955620893 -0.05922075589558874 1.6504893257159097,2.430685079672295
9,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-10.346477210500087 -13.612803096873659 4.434653039202899,18.964116502781323
10,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.003942756125048635 0.2762631299421017 0.4588676491109937,0.0727214067541718
11,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-9.2562031013466 10.224970444491731 -3.935019899117504,13.375408586465918
12,0.9541327587482906 0.13608780198425108 -0.9391925865348623,4.50494994267083 -1.3109606086516306 -6.279005434457637,6.5738765600826845
13,0.728418941381578 0.5067792244623781 -0.8923712934529042,-3.021480676068166 -2.086432042306073 3.6819494804190263,6.4583978165889455
14,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-1.32952660957851 1.716048126769469 3.5541800147195253,4.753084964030236
15,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.7301229134646987 -3.1731971478125582 -1.7304156343755699,2.8162004830635605
16,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.039070580142012735 -0.007570951945376755 0.03621816126053023,1.1338467149641738
17,0.9520747800077907 0.07365724178413768 0.7020934621422159,1.1193606426446812 -0.04435498927157263 0.7332553719378962,0.20708092896022334
18,-0.7073921477505916 0.5140617089953401 0.017111870505752913,3.756031411772129 -2.702948259182403 -0.15425585736463457,5.504604427678059
19,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.1874763587475305 -1.2123962360643086 -1.1859693869203336,0.3863282025086358
