,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,0.5498959590702629 -1.334724119979356 -7.062136121792585,7.528973260877328
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,0.4635434264131019 0.22212913267961326 -4.058504130208439,3.3186918979456
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,2.3364323419293966 0.19568137258046414 -3.158441044154793,2.899127257862037
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,0.8008498895810082 0.11084597431808008 -2.772435522113162,1.9719561020690994
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,0.7648185720562315 0.6613535349363137 -3.2920483124870437,2.9644128381976187
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,1.0637268139023814 0.27922664734015956 0.45012608561919343,2.343491844307167
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,1.2749040744064413 0.9460791315510368 -3.4835229824641067,3.216797161551316
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,1.6628150894377425 2.182077944231865 0.12738017292976683,1.5595560297734845
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.1520231728574124 -2.769965531019955 -1.3449705032636203,3.4846264723735674
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.3328316702533987 1.0888286078512441 -3.0338756590086717,2.824890390510026
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,3.632384162319079 1.1656147116602351 -2.505325451759656,3.26890323962229
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,3.3551143136903496 2.689169682300786 -2.37788255828566,3.724124112770339
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,1.7702463644596267 -0.5411058104270736 -2.481545799051722,2.5509636956761006
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.8611458465919447 -1.5359145307623985 -0.23530521236210733,0.7674286926576118
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-2.5213290530543397 -1.7063566034515656 -3.195211015638543,4.6356865728699574
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,-0.8695605834482103 -0.8072411853535142 -3.5644646085474943,4.72206048318894
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-1.163000218949142 0.5210103205089887 -3.1652690682735645,3.2148367668124553
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,-0.2187228017047338 -2.659809367907045 -4.163627611815406,3.689400764729916
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,1.3986246158031876 -0.07253327709039349 1.9148331779434289,3.183283033085654
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.9591391397890657 -1.4622017929134485 -2.410197790535253,2.415989114321844
