,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.7839597258377518 1.7435193459501008 2.6738990515838936,2.9300992370302525
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.3840824015778851 0.020785200714532926 -0.3762121833074543,0.7160361935627483
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,0.4194629163358301 -0.1800122605980334 -0.8978517229139001,0.14478956365582674
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,11.09998492037811 -8.824578465540194 -12.408283381129339,17.37121581566243
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.9201809201649516 -0.6330056927098358 -5.773861776417259,5.3221077952295
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,0.15711058029214528 -0.07776696800899752 0.1609220815127396,1.5524630917227167
6,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,0.15619986543897443 -0.03148674155089846 0.8775391337955648,1.6450968178707641
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,-13.508987299155525 -17.77370020734649 5.7901516007744425,24.363356859535777
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.00253410413442618 0.17756095420869097 0.2949252679817336,0.1197349795913045
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-11.48674207746903 12.688960793063567 -4.883272131776709,16.831667458942896
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,4.232712120704786 -1.2317381832474958 -5.899559983266611,6.101251942764007
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,-2.41436973499058 -1.6672019175755675 2.94212948694279,5.413567299399247
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,-0.9613639643227241 1.240852810492215 2.5699828527317554,3.5998295252306995
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,1.7703121384641223 -3.2469077108878657 -1.7706116590228447,2.9092654538145375
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.2600458257583335 -0.05039071452883547 0.24106070650114234,0.8301129098566831
15,0.9520747800077907 0.07365724178413768 0.7020934621422159,0.9806558561523143 -0.03885877198252361 0.6423945484157032,0.13053999987606932
16,-0.7073921477505916 0.5140617089953401 0.017111870505752913,6.792468492556695 -4.888055736159346 -0.27895880946513435,9.247618091314838
17,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.22521270147760228 -1.4564344721086944 -1.4246882715369695,0.7295905369297964
18,0.13643816720410262 -0.446326365661861 -0.9835206590889016,-0.7175245576072798 2.0509077733837993 3.843591038999103,5.501494163079741
19,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.00938190384234926 -0.00965334767627965 -0.001570872174681704,1.2941644034661177
