,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.09433350582686967 0.209796864506893 0.32174901777448417,0.04226695464795174
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.3606809016994892 0.019518793115550718 -0.3532902026966477,0.7479520756593497
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,0.5894524368994075 -0.2529631620553783 -1.2617107864243482,0.3946114212485131
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.0284102756230036 -0.8175945496414135 -1.1496237358456587,0.27459168492720054
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,0.14039946325091196 0.09658281055784251 0.8809649021505725,1.4565035955802554
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-0.8542656926745698 0.4228464605622013 -0.8749901704550404,0.06810462610218525
6,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.42057159265141275 -0.43273986547424514 -0.07041899207871663,0.7070777036378395
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.5122669356813215 0.673986786670902 -0.21956517923770952,0.4274193270907176
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0019408119415703395 0.13598984177612955 0.22587646426747726,0.20016885484049035
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.610004001672848 0.6738478855567844 -0.2593264061777941,0.025770080760308248
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8800824948079069 -0.25610794742216325 -1.226660193341389,0.4918725164157592
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.9562776820807952 0.6603412734156232 -1.1653114787599785,0.3872947886910073
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.5432001169967708 -0.7011198847150417 -1.45211911210659,1.1131625591753562
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5410283499755378 -0.9922934397707698 -0.5411198870046007,0.08177772612536945
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.6401285021511345 -0.12404172425996016 0.593394754674794,0.31048259056783
15,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-0.6152115357718843 0.44272391983510684 0.025266024829736708,0.11684534915767181
16,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.17037147831018526 -1.1017801946652188 -1.0777644660377896,0.2309310929062479
17,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.17933040441950535 -0.5125819270276815 -0.9606259857438257,0.08218095577942681
