,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.1118388691531426 0.2487286343559463 0.38145562367918595,0.11330963823165788
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.6532589110423398 0.035352095094153525 -0.6398730068824889,0.36028384605210617
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,1.200834262564053 -0.5153373082321827 -2.5703609773074065,1.8424981466818102
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.251743770617776 -0.9951464981081658 -1.3992804078385763,0.6535161942406339
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.7362754008356843 -0.5064944402973032 -4.6199093033133,4.146789878149144
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-1.066786895426231 0.5280407100194311 -1.0926671356141981,0.30964055266847024
6,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.32726130502170037 -0.33672985904066105 -0.054795453731689814,0.8394528661934834
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.5509631363403221 0.7248991648118891 -0.2361509427170791,0.3617442665873042
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.00065084546239025 0.04560378548554713 0.07574699468836354,0.3752973505806312
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.5711119402235113 0.6308853258019136 -0.24279251706092977,0.08337959647794377
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.7414777884760788 -0.21577335714100532 -1.0334727627651943,0.42180227988059377
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,1.168886020603223 0.8071543420770102 -1.4243941092582397,0.7531830691787281
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.26157385564990987 -0.33761891019405654 -0.6992568357986979,0.23098487821064378
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5699044839660388 -1.0452548018251082 -0.5700009065718304,0.1393090350065695
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.458551305110048 -0.08885636923893162 0.42507393169838925,0.55782971716596
15,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-0.7814129175117337 0.56232721549431 0.03209172297355798,0.08962716917091225
16,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.17629820405098778 -1.1401079071743518 -1.115256741545072,0.2847399451127706
17,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.18984260923811794 -0.5426290694555164 -1.016937112398054,0.11507781949053336
