,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.08497994100512682 0.1889946208675532 0.2898462461377652,0.017240659528311008
1,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.09061358958331737 -0.06233439184201997 -0.5685733423219532,0.037082656905936304
2,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,-0.11392471989143615 0.022964925106683944 -0.6400351225045832,0.10274971290806499
3,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.6681352166961751 0.8790618257721395 -0.28637262800069213,0.16479122368596677
4,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0022755241164504896 0.15944263219211754 0.26483108990113546,0.15477005981103242
5,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.2875432285708523 -0.371138129315582 -0.7686799113245597,0.3123310086034757
6,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5404981358137314 -0.9913209805004596 -0.5405895831354265,0.0808559451166065
7,0.9520747800077907 0.07365724178413768 0.7020934621422159,1.1972427697688883 -0.047441091088481 0.7842733244333946,0.285527020077299
8,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-1.0267043259535484 0.7388459696671856 0.042165556859712516,0.39130029158489993
9,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.01808694648657585 -0.11696699247157738 -0.11441743897337031,1.1559484524456898
10,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.7185201282549369 -0.7393088574560298 -0.12030642131818955,0.2992037877934895
11,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.9016554664498763 0.048794450796299085 -0.883179677669826,0.16955526503511317
12,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.5891303183555093 0.25282492507420673 1.2610212983233546,2.464817302847883
13,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,0.9898773489675183 -0.7869605589452666 -1.106549130170497,0.209284969444542
14,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-1.4976752043096107 0.7413228280669574 -1.5340087908743472,0.9575387210396541
15,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6131404377903651 0.6773125855262551 -0.2606597756382099,0.021760023719339116
16,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.802743038677871 -0.2336018193250088 -1.1188643528729398,0.4380310571932414
17,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8241541954323404 0.5691056490186278 -1.0043069729659941,0.15993566961183822
18,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8837711077322735 -0.17125388369031547 0.8192497879709263,0.06877951175609338
19,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.16977611675996088 -0.485272809001885 -0.909446170303496,0.09008481680197747
