,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.107937184648927 0.15130435182419172 0.2883972649940766,0.05569995724446953
1,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.10583749185693532 -0.09677088997785142 -0.4330298882647532,0.12841882735371155
2,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,-0.14293362987500954 -0.03573671986499753 -0.6569001656145953,0.1038724370910191
3,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.7779015716569562 0.7874863148243357 -0.37588462610113715,0.19149434368906046
4,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.01582648089146071 0.16115816157132806 0.37306128541643285,0.0893232114374918
5,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.18584749936259773 -0.3293803123783779 -0.5006765717617929,0.08841511634179694
6,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.4672396855402262 -0.9864424440099823 -0.4767518153823743,0.12756039060827704
7,0.9520747800077907 0.07365724178413768 0.7020934621422159,0.9029959940123511 -0.012976159429125632 0.6917636422508939,0.10010383918487623
8,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-1.7573755513299276 1.225479544327625 0.2163199685177878,1.283847479467282
9,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,-0.31008563922629406 -0.9163980316982065 -0.8680463390678514,0.4408874995644126
10,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-2.16445648385787 -1.7202577358077242 -0.38159321466623186,1.492648476369244
11,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.7396624132534693 0.06848611589675976 -1.2621479417960682,0.2845680189379244
12,0.5303147903765753 -0.087466535972055 -0.9083953759218502,0.4059048542271296 0.2570175961675576 -0.7759335490402582,0.3894782215856235
13,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,0.7770713670030256 -0.8062296807282943 -0.9490708177438794,0.13801220456035074
14,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-1.6628418133467717 1.2113010852925368 -1.8280785085550038,1.447904373354734
15,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.665649423684156 0.5868881919090622 -0.2743670739122418,0.1139292584825226
16,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.7998508271827345 -0.1083440014034969 -0.9951811145747886,0.294422377184655
17,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.7680966985679173 0.4844287254875015 -0.8080237313768602,0.0958560402266657
18,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.929132155670365 -0.1927899153882305 0.8299442751957432,0.11413963701965141
19,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.16470727812344074 -0.31870031468399407 -0.8594478600981601,0.1802265545633381
