,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.08510479692407354 0.18927229930302047 0.29027209980378044,0.017229729870308984
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.8371606451630722 0.045304215888407016 -0.8200064173781476,0.17807984755844292
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.32145838230197643 0.13795367321586238 0.6880750387094259,1.8234718514959776
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.0485286698975933 -0.8335888370346208 -1.1721133823742869,0.3087065316861942
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.07011249104456768 -0.048231391228284626 -0.43993504235999414,0.11506166840967413
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-1.4184477879828559 0.7021066534499366 -1.4528593181623863,0.8378578632917619
6,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.6614621567442216 -0.680600044623192 -0.11075284015853439,0.37341785975106667
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.6474540961325094 0.8518517893193281 -0.27750839408842803,0.199106445833831
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0022114379761017998 0.15495221047768312 0.2573725873638938,0.16345929910993878
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6049612400846448 0.6682773413894363 -0.2571826149300418,0.03270431884601691
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8335438182673085 -0.24256498412625288 -1.1617945218845294,0.4554901169257027
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8589650561377258 0.5931436962486645 -1.0467271782323484,0.2198336853871458
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.3173780287468263 -0.4096465371847201 -0.848436307145937,0.4057861175773103
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5530714662707257 -1.0143815711868986 -0.5531650408844849,0.10442664971010943
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8557746015781343 -0.16582882468271934 0.7932972177521977,0.06174214401713208
15,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-0.9780443970442781 0.7038288849524449 0.0401671499694836,0.3313544432018641
16,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.039377376892078875 -0.2546506868865191 -0.24910001369356582,0.9621999573259762
17,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.17995331119187435 -0.5143623878188845 -0.9639627341004162,0.08309621229083024
