,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.08520468165923092 0.1894944420513943 0.2906127827365926,0.01723243504263813
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.7869980063844468 0.04258958873782429 -0.7708716593735089,0.2128471871919612
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.11326909870478419 0.048609366214927854 0.2424501701208147,1.325580002975048
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.0925171605951498 -0.8685600456016365 -1.2212865715271293,0.3833209815298424
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.05371161221356792 -0.03694899073729636 -0.33702440239042686,0.21783232433780583
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-1.355065854921452 0.67073371375632 -1.3879397399928175,0.7421875113079598
6,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.6207064628079964 -0.6386651783140221 -0.10392885361592355,0.4282701360496816
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.63194325570976 0.8314442619797197 -0.27086021865422993,0.22504455666424178
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.002160169063822848 0.15135987310613558 0.2514057853341004,0.17041193430330226
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.5988268418053545 0.6615009082868222 -0.25457474439891575,0.04156259009798029
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8566444029593866 -0.2492873577271859 -1.1939921486432215,0.47216608316105374
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8860401700196923 0.6118399552053597 -1.0797206712172904,0.26642446999166697
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.34124586888760555 -0.4404532634800306 -0.9122414238030387,0.48055056143628927
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5628507232928324 -1.03231758616524 -0.562945952467086,0.12439550439251057
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.83477722196253 -0.16176003042702225 0.7738327900881514,0.07123610955570175
15,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-0.9391164539168619 0.6758152171806524 0.038568424457300465,0.2834091303856864
16,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.05640972121648129 -0.3647976424184725 -0.3568460734697222,0.8072109716976401
17,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.1878689068611404 -0.536987615787662 -1.0063645059424655,0.10670719092503618
