,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.0849507195594927 0.18892963263652476 0.28974657877834376,0.01724551144207159
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.8036868365393022 0.04349273005081954 -0.7872185193275499,0.1992130951227415
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.2480056125129516 0.10643146082957551 0.5308508996032325,1.6476677226706307
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.0623148103752718 -0.8445489310577113 -1.1875244247321048,0.3320881450455755
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.04981283095285435 -0.03426696302016034 -0.31256070878133674,0.2425207293063783
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-1.3801309356661444 0.6831404869271074 -1.4136128993638828,0.7800117061289966
6,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.641583848293201 -0.660146602985064 -0.10742448781660403,0.40002887747037874
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.6383808968084336 0.8399142309267976 -0.2736194867686523,0.21426303970367205
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0021916848400502903 0.15356813725106558 0.2550736688370945,0.1661379222743259
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6009154572880137 0.6638081212278379 -0.2554626617658837,0.03851193384646429
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8492357458873937 -0.2471314053397033 -1.1836659522128354,0.4665057027465528
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8674420205016115 0.5989973196758756 -1.0570571316165795,0.23442060255978572
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.33545970821168847 -0.4329849434648017 -0.8967734696544415,0.46242577294268095
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5561536328388644 -1.0200345349659374 -0.5562477289269063,0.11060889970262089
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8398459007465031 -0.16274222018106552 0.7785314207434553,0.06794611977444014
15,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-0.9555794030137784 0.6876624289646253 0.03924453869844762,0.3036840111863915
16,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.047446538659556475 -0.30683338032286006 -0.30014527027028315,0.8887717049323532
17,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.1823822578628125 -0.5213050709030338 -0.9769739649490954,0.0881789368855091
