,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.0792698276258124 0.17629538031184175 0.27037041562482733,0.03000312722692096
1,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.05322182721200056 -0.03661206058866814 -0.3339511470802589,0.22093098785800183
2,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,-0.1506742467563218 0.030372888303454637 -0.8464959147836139,0.10717461728541715
3,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.67652999978481 0.8901067956591434 -0.2899707560958937,0.1509928558673639
4,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0022555832451590816 0.15804540463301536 0.2625103222856644,0.1574735798337675
5,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.317655606838175 -0.4100048131005683 -0.8491783475817491,0.40665561134387845
6,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5656363482611889 -1.0374266666448246 -0.5657320487376095,0.13024425572074128
7,0.9520747800077907 0.07365724178413768 0.7020934621422159,1.3656249484082106 -0.05411328362637955 0.8945748057631092,0.47370678334788463
8,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-1.8724636196118447 1.3474786885832544 0.07689991093312921,1.4337189425366934
9,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.03244212294197281 -0.20980089440371374 -0.20522782132599102,1.0253114073847986
10,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.8235531125401385 -0.847380729841403 -0.13789276575423412,0.1820982469056674
11,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.9506116124704044 0.05144378676448275 -0.9311326651148043,0.19338755629130613
12,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.22786965788879782 0.09779012790113298 0.4877503039421418,1.5994956856783888
13,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.077339054787134 -0.8564933277977943 -1.2043195000035571,0.3575727377649365
14,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-2.8172432094256483 1.3944857318557207 -2.8855895035547334,2.954692097119655
15,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6013065617183844 0.6642401592025309 -0.2556289290462461,0.03794410238463305
16,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8765554516927122 -0.2550815620798447 -1.2217441957898725,0.48874034194539395
17,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8457526147468248 0.5840200697785659 -1.0306266146578031,0.19709863757015533
18,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8777306536732459 -0.17008338693180988 0.8136503282648886,0.06542836473930531
19,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.18287143484018498 -0.5227032904549876 -0.9795943578356935,0.08947010017737723
