,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.07948597820345557 0.17677609724325863 0.2711076535281414,0.02926581122728378
1,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.051267898785615294 -0.03526792511493139 -0.32169082695436607,0.23330105693340142
2,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,-0.14111504384871432 0.028445945853545634 -0.7927918055275452,0.05263682640309707
3,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.6678764790936145 0.8787214061330914 -0.2862617292404466,0.16521795017485696
4,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.002252216958485196 0.15780953387070737 0.26211854556823927,0.15792998877467035
5,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.32230580301407113 -0.41600691969946285 -0.8616095649743329,0.4212220280216082
6,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5605068546354025 -1.0280187255000697 -0.5606016872486009,0.11952235589264915
7,0.9520747800077907 0.07365724178413768 0.7020934621422159,1.296103362165791 -0.05135847066043532 0.849033561381445,0.3944312189268271
8,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-2.004076771327391 1.4421912988665648 0.08230511055278965,1.595952915083294
9,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.03549792409626572 -0.22956254244497384 -0.22455872067628016,0.9975031727187662
10,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.836326586169695 -0.8605237745849753 -0.14003151015365192,0.1715964657074345
11,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.9852814228515974 0.05331999604808297 -0.9650920576950945,0.22184188773358154
12,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.23872013774524647 0.10244660486599765 0.5109755323333811,1.6254523976221482
13,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.0732625299020013 -0.8532524572944894 -1.1997624959762734,0.3506577251273038
14,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-3.0413468508562755 1.5054130843066407 -3.1151298972477752,3.294052642344173
15,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6014895868943065 0.6644423400529197 -0.2557067371605893,0.0376787829358114
16,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8790069585976212 -0.25579496156820125 -1.2251611094902295,0.49091137931306905
17,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8500235145415616 0.5869692669227997 -1.0358310951645648,0.20444762123921859
18,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8669285291235149 -0.16799019134636614 0.8036368324970643,0.06181982931007261
19,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.1834457260616922 -0.5243447929204963 -0.9826706854252636,0.091089560526383
