,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.07998644307958397 0.1778891266052784 0.2728146194774455,0.027597312006611023
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.9226456396954631 0.04993036580346939 -0.9037397420525795,0.17693411756342758
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.1621668126264928 0.06959379100750122 0.347114718478667,1.4423953389935158
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.0784730548698171 -0.8573948671045005 -1.2055871588770681,0.3594963777790779
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.35409533402706433 -0.24358727429486643 -2.2218429762487046,1.704436745685566
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-2.7075880461744064 1.3402083588314226 -2.773274107060132,2.7886476897175654
6,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.7894548912487214 -0.8122959548533096 -0.13218348244320266,0.2154306690653107
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.6598577230318085 0.8681711729348341 -0.28282477188610905,0.178479198092513
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0021878923195943934 0.15330240091377115 0.25463228598443804,0.1666522247366104
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6012494596359494 0.6641770807351699 -0.25560465366808055,0.03802693349252743
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8659064989478611 -0.25198266913995654 -1.2069016707880162,0.4796360258243741
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8455035903367492 0.5838481102116512 -1.0303231557263755,0.19667014129325514
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.324430541001473 -0.4187493639776656 -0.8672895575648782,0.4278776255843526
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.568615738981871 -1.0428911305066177 -0.5687119435438448,0.13655996483771687
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8664049484264535 -0.1678887338230181 0.8031514767626434,0.0617307301859573
15,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-1.8004805970424862 1.29567763470103 0.07394365161449498,1.344989094616054
16,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.04320130102868372 -0.27937973145079137 -0.27329003420717274,0.9274025020909907
17,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.18573353328503453 -0.5308840556796733 -0.994925869236559,0.0985399151446446
