,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.08027134108721157 0.17852273719973913 0.2737863384156594,0.02667461718472048
1,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-0.9195061840530255 0.04976046940781481 -0.9006646168794756,0.17553720010522786
2,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.14242748132112162 0.06112266873997627 0.30486308685288943,1.3952265097038745
3,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.0814977439782432 -0.8597995195939077 -1.2089683526234003,0.36462732412106436
4,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.47762677494860134 -0.3285663296288591 -2.996966051822529,2.4938388259781967
5,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-2.684031984749026 1.3285485236256767 -2.749146575803068,2.7529787994592705
6,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.7807462671292563 -0.8033353667019205 -0.13072534179937315,0.22488322546439463
7,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.6563644573866914 0.8635751025599058 -0.28132750660492334,0.18427590398736388
8,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0021568898772075435 0.15113010531698595 0.2510241455355845,0.17085666258538418
9,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6002907574651966 0.6631180394356554 -0.255197087835964,0.03942127368940595
10,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.8623649907988071 -0.25095207440800354 -1.201965511852385,0.47672927268219056
11,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8469088369934832 0.5848184793671372 -1.0320355768047573,0.19908815311915687
12,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.3237796637354305 -0.4179092629183095 -0.8655495886508774,0.42583879650457873
13,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5693801235186121 -1.0442930787803166 -0.5694764574074308,0.138189321709639
14,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8592092301969944 -0.1664943742632243 0.7964810950515808,0.06135761318869436
15,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-1.785706296149677 1.2850456227445552 0.07333688819818263,1.3267776190877716
16,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.04563148455898702 -0.2950955549539188 -0.28866329668566465,0.9052882475275053
17,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.18654715347973772 -0.5332096345943007 -0.9992842194231202,0.10152882723822321
