,original position,computed position,offset
0,-0.08867039024920453 0.20295444466879609 0.28042582975703767,-0.07644170243957847 0.17000565545423074 0.2607243572827989,0.040290340454063454
1,-0.10986972450779131 -0.03867724856077581 -0.5474862779756644,-0.7444923901084712 -0.5121470254277114 -4.671468468733585,4.199303354961278
2,-0.13122590954952318 0.02364737464184885 -0.7413154592029603,-0.13983986214815464 0.028188894949416374 -0.7856277670580093,0.04536966181840193
3,0.7922422649328762 0.9745778037017385 -0.33765894139953034,0.6636701782178207 0.8731871992312216 -0.28445884652170733,0.17216586842974985
4,-0.0012664896809699844 0.24660933276532138 0.3926715837336878,0.0021181489633901236 0.1484155863945442 0.24651538276051127,0.17611105214606204
5,0.18902937831049726 -0.24103873953666555 -0.5023721400874095,0.3181660547721301 -0.41066365904961966 -0.8505429113538072,0.40825455354664547
6,0.5427690013961384 -0.910695035290038 -0.5462450220337283,0.5718747340283563 -1.0488684132220598 -0.5719714899823678,0.14353005676274172
7,0.9520747800077907 0.07365724178413768 0.7020934621422159,1.306649154774877 -0.05177635074323963 0.8559417541366283,0.4063568263551043
8,-0.7073921477505916 0.5140617089953401 0.017111870505752913,-1.7430879189551167 1.2543762124499103 0.07158660083556057,1.2742443999330066
9,0.1273342945325706 -0.9414724668932126 -0.9172079249068152,0.04531680925878587 -0.29306057223879134 -0.28667267090569043,0.9081517271680073
10,-0.994196116722248 -0.8461384925079998 -0.07433811607201579,-0.8138342545871751 -0.8373806790614291 -0.13626547519737725,0.19089813623353544
11,-0.7656654554677571 0.08138126238584276 -0.9790640065491489,-1.1750288781378293 0.0635884668944267 -1.1509514049002836,0.44434251777595757
12,0.5303147903765753 -0.087466535972055 -0.9083953759218502,-0.2071332236981501 0.08889109952454038 0.44336439415111367,1.5498987273523448
13,0.8561043933368697 -0.6958402037900839 -0.9738763158729298,1.068253188832233 -0.8492699903228755 -1.1941627294907988,0.34216065649085725
14,-0.8702918250165674 0.4865434280411225 -0.8569874064265783,-2.8581231214200504 1.4147205677424433 -2.927461161834935,3.0165953718488763
15,-0.6271345447732812 0.6918652731439165 -0.2525429483565893,-0.6050823187023011 0.6684110922669227 -0.2572340881707021,0.032533153367786394
16,0.9541327587482906 0.13608780198425108 -0.9391925865348623,0.865197077018945 -0.25177622418150897 -1.205912877526454,0.47904881995973675
17,0.728418941381578 0.5067792244623781 -0.8923712934529042,0.8223599758288037 0.5678666812167145 -1.002120552913957,0.15684863811323715
18,-0.8482553838401983 -0.11250723577808763 0.8235025462411787,-0.8735207250558857 -0.16926760259639312 0.8097477531558258,0.0636338828055823
19,0.13643816720410262 -0.446326365661861 -0.9835206590889016,0.18616524719299582 -0.5321180279532752 -0.9972384475176216,0.10010579165223643
