,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-0.11824440724909059 0.12988555098359658 0.01081856221919091,0.5041929392561747
1,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.08899524387776725 -0.054748356578810844 0.18234440385815037,0.872930590635403
2,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-0.026050538471880675 0.0610936174400275 -0.03116116029823088,0.913646865413774
3,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-0.16771214719889244 -0.35058342333530146 -0.04392928944040491,0.09362414287296765
4,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.49302813622547437 -0.15465247011007335 0.8170221093084084,0.030203542163627965
5,0.7762084997589942 0.8931872080179626 0.6363030078401679,0.766543046174041 0.9784267034749885 0.6044741221965487,0.09150011224083725
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8458405292699122 0.6074507176910029 0.8581412767454658,0.02553198963171509
7,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-3.947118375763205 0.1639174334288226 -0.1435301260652386,4.569224062418673
8,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.07736696478778719 -0.8502852347003674 0.7075886841988273,0.10254431744076495
9,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.01823758866180214 1.0289154635987823 0.6947284010091908,0.3318478165452875
10,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.250225487584232 0.14024120910331142 0.3290673527052329,0.02493542940970068
11,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-31.09595301560373 -29.788495375868887 70.46344737666034,81.58724682127249
12,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.28130529833549645 -0.8773968908821687 0.8523558231227335,0.19083068508477338
13,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.4015253758779431 0.7823722604333349 -8.784534218763051,7.857112134662945
14,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.8982535066535519 -0.34050734213985195 0.8844836891586422,0.024411954835546347
15,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.18304002954844004 0.9393452639140983 1.0955535706046093,0.48935068823503275
16,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.10889516179580318 0.855410449113982 -0.4228522310831152,0.11002480617434017
17,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.560058118610989 0.8532125255460187 -0.43704767167756514,0.08950686062529747
18,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.5481468003547362 -0.44632180904001684 -0.05967013805760998,0.19751815282487717
19,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.39346631207625854 0.27081200203097916 -0.38187150366760036,0.7468728519923291
