,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-1.2578710794582268 1.3817082940556564 0.11508668235084181,1.2068557503719224
1,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,0.6061954052469676 0.3729210770912764 -1.2420477204728748,2.5091563606154743
2,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-0.8302434457660353 1.9470835703634697 -0.9931214714811705,1.3511450421680484
3,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.08902614445680498 0.18609916461802883 0.02331885515107227,0.5052292114902489
4,0.512613474655695 -0.17235549206399403 0.8023499761471131,-0.009917918641178133 0.003111040736846391 -0.01643548960552381,0.9870345485552582
5,0.7762084997589942 0.8931872080179626 0.6363030078401679,-0.2873025736113701 -0.3667171875102097 -0.22655866732513819,1.8608990191629615
6,0.8403012869575546 0.6020867659417655 0.833801447025625,-0.12787534021645885 -0.09183523903319835 -0.12973498422017102,1.5320888305618598
7,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-3.135456680947888 0.13021043780295924 -0.11401545376797254,3.756334565237378
8,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.011617402360666721 -0.1276785992567129 0.10625132409860451,1.043395099186635
9,-0.173563804343845 0.7951196108575662 0.5177079521656238,0.0007963263287733549 -0.04492657932689591 -0.030334630708551396,1.0180519286632677
10,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.46802982631758 0.26231168284603795 0.615498194929369,0.35507572537266074
11,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-21.150454413222835 -20.26116431194967 47.926941836795955,55.175563615555795
12,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,0.18891550335284935 0.5892312596385753 -0.5724144917061618,2.195117161340539
13,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.3143619531866781 0.6125343170929841 -6.87758109635646,5.940639797166081
14,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.07474553418587782 -0.02833432098392369 0.07359971916074814,1.1967808816683925
15,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.145875410558764 0.7486197219698129 0.8731113478036981,0.2605250380625856
16,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.23189166263881658 1.8215919606751803 -0.9004615567794289,1.1946715113827202
17,0.5571112550039472 0.8973849623655932 -0.5148396373250446,-0.1757055496570476 -0.26767610502128963 0.1371138080613705,1.5229678443373094
18,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,-0.46937077399210403 0.38217939578064825 0.05109474116457659,1.124004043776841
19,0.8959876213106324 0.5987296292268078 -0.8265752484042328,-0.247378283735849 -0.17026364448834677 0.24008845048622662,1.7425291086155739
