,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-1.3198853821293317 1.4498278953009993 0.12076057093073696,1.2988385968369092
1,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,0.6198319379704145 0.3813100395066983 -1.2699879262839213,2.5413220340041716
2,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-0.8534268424697676 2.0014531785275023 -1.020853011146743,1.416432398971744
3,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.09365029455031722 0.19576543147392464 0.024530071102131984,0.5160123973567782
4,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.08090413809379472 -0.025377912291419003 0.13407037996497115,0.8090568452858466
5,0.7762084997589942 0.8931872080179626 0.6363030078401679,-0.32993744938227854 -0.4211369636229843 -0.2601793220753313,1.9377015912704492
6,0.8403012869575546 0.6020867659417655 0.833801447025625,-0.09258563267177672 -0.0664915040934386 -0.09393207144829559,1.4757928002530603
7,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-3.250682295842164 0.1349955709711722 -0.11820543376281424,3.871734283177417
8,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.01559604994318639 -0.1714050825531962 0.14263954244900748,0.9863789192369425
9,-0.173563804343845 0.7951196108575662 0.5177079521656238,0.0007451972524618615 -0.0420420150222627 -0.028386959769719583,1.0146146405039356
10,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.4779836525391762 0.26789039762045114 0.6285883052760458,0.37244086522525255
11,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-22.172323198498873 -21.240067694317965 50.242497090594384,57.88928117794356
12,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,0.19181819510566997 0.5982848136746485 -0.581209655653967,2.2080311426827586
13,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.32795263721637546 0.6390157671430595 -7.1749167968815595,6.239459262376614
14,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.14102418058107508 -0.05345903862486477 0.13886234406767803,1.1004526795139813
15,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.15379001501890233 0.7892367729707626 0.920482806372727,0.29965575909557224
16,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.23874388063709004 1.8754185841786306 -0.9270694943650404,1.2551046362134521
17,0.5571112550039472 0.8973849623655932 -0.5148396373250446,-0.20195241969572975 -0.30766152355057075 0.1575958492246688,1.5749552942984835
18,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,-0.4912196052336247 0.3999695386380264 0.05347316018615119,1.1522626962663056
19,0.8959876213106324 0.5987296292268078 -0.8265752484042328,-0.27335826920826195 -0.18814495138192472 0.26530284829645107,1.7829019028921087
