,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-1.6684146645272584 2.4616586248660526 -1.9995272779589182,3.1497395485050492
1,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-1.1502044041753974 2.155332532795649 -2.560563012056738,4.3879974285680206
2,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-1.59757946314409 2.6221882968803083 -2.420706032680324,2.965877601160021
3,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-1.2383598674862069 2.320060946399033 -2.104674825064534,3.4986122764801304
4,0.512613474655695 -0.17235549206399403 0.8023499761471131,-1.660209901220158 2.0635041229793094 -2.670046802072316,4.666665729010682
5,0.7762084997589942 0.8931872080179626 0.6363030078401679,-1.394812370776876 1.9809387541658148 -2.2379928252040413,3.762726615408656
6,0.8403012869575546 0.6020867659417655 0.833801447025625,-1.580336905373775 1.903244886013982 -2.379951404908761,4.228558750321361
7,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-1.6269943857954918 1.9808720894168312 -2.178382008166829,3.7259814300273177
8,0.08614423355737344 -0.9156749334464602 0.7860901739314052,-1.3341116302943856 2.587022099119694 -2.5712425408553496,5.055462014349475
9,-0.173563804343845 0.7951196108575662 0.5177079521656238,-1.3202121952987966 2.186937232662334 -2.00871978854509,3.1039967709194705
10,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-1.315150116181793 1.9610177978288095 -1.977339344251158,3.13090746872707
11,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-0.9579477187807101 2.1623552582407872 -2.578176882210125,4.282664251399678
12,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-1.073243050623463 2.3985052790825674 -2.5120028871467324,4.7963758973005115
13,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-1.2875614675134166 1.99930325624059 -2.7165436517309836,2.8884365804400045
14,0.9148960725127981 -0.3406532262795261 0.8666245946034528,-1.7789938867709132 2.140023338457677 -2.5509578056570543,5.009058673457153
15,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-1.3418377864274966 2.0464808058576716 -2.1702874622121366,3.2845478677874826
16,0.09126475467595352 0.7590592291615956 -0.3727416620165367,-1.1596647702522485 2.6093949612130496 -2.376885346717453,3.0008596945825463
17,0.5571112550039472 0.8973849623655932 -0.5148396373250446,-0.9723841959414873 2.3897394937571224 -2.262900307753246,2.760832209556659
18,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,-1.7381737425359116 2.3287686821323317 -2.0264844613086646,3.9299041300105944
19,0.8959876213106324 0.5987296292268078 -0.8265752484042328,-0.9332768939026675 2.2036328161176475 -2.39574151877402,2.895549289854543
