,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-0.419268637100094 0.46054557003419055 0.03836023996862335,0.11243834219988759
1,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.7667010589257914 -0.4716614184581998 1.5709114491472482,0.7455552234241183
2,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-1.4051358216946628 3.29531884473538 -1.6807968337344212,2.9701264453116005
3,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.43469599174319107 0.9086831898629956 0.11386107899044658,1.3113262805574628
4,0.512613474655695 -0.17235549206399403 0.8023499761471131,-0.6014495982277939 0.1886619833195503 -0.9966928523568849,2.1466311389445965
5,0.7762084997589942 0.8931872080179626 0.6363030078401679,-0.9367629376193479 -1.1956978509780187 -0.7387047045172085,3.0312304669907455
6,0.8403012869575546 0.6020867659417655 0.833801447025625,-0.8277948188571316 -0.594490970123753 -0.8398331342085169,2.6486592095217882
7,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-2.7134035456280676 0.11268325464650386 -0.09866822220515685,3.333644488794474
8,0.08614423355737344 -0.9156749334464602 0.7860901739314052,-0.04072593598106592 0.44758977076374973 -0.37247436981212795,1.793560284931545
9,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.012513240751312991 0.7059632250466673 0.47666958060143555,0.18860088309701636
10,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-1.1102780554369518 0.622265694988153 1.4601080968874673,1.4755273125672943
11,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-16.33883401674203 -15.651852873284891 37.0238072573939,42.39762312871278
12,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-1.0654976324403451 -3.3233085742683435 3.2284607396582947,3.4126125333375024
13,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.7120299859129352 1.3873905437656808 -15.57772472626717,14.684238865307162
14,0.9148960725127981 -0.3406532262795261 0.8666245946034528,-0.7842834717967784 0.29730391085323826 -0.772260763072657,2.4454336319401277
15,-0.12493961089274852 0.8220636377360309 0.6240310816508357,0.5413639466417018 -2.7782319560713895 -3.2402377021194844,5.323406994284199
16,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.38430292448455894 3.018836941953309 -1.49229172674157,2.5388696358066025
17,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.8103654257193372 1.2345396102960877 -0.6323778028555589,0.43775124438675694
18,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.847163264254076 -0.689792297263125 -0.09222045791868584,0.581835727136177
19,0.8959876213106324 0.5987296292268078 -0.8265752484042328,-0.05598447554767129 -0.03853256921975283 0.054334704657733754,1.4451146418777214
