,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,0.721610670877693 -0.7926531306055724 -0.06602248784990603,1.7465686471955095
1,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-2.6761334096309994 -1.6463116429477975 5.483191347778875,5.2462275800190605
2,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-1.8129850532428708 4.251805212658684 -2.1686583531998362,4.11869514148037
3,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.7755248308810724 1.6211476308235617 0.2031352846707854,2.106143824035325
4,0.512613474655695 -0.17235549206399403 0.8023499761471131,-1.1754382838855288 0.3687100607615383 -1.9478788237408307,3.2720068954239077
5,0.7762084997589942 0.8931872080179626 0.6363030078401679,-1.5768427833697398 -2.0127050843802023 -1.2434535308575145,4.185038231704644
6,0.8403012869575546 0.6020867659417655 0.833801447025625,-0.9849031482448349 -0.7073202377448846 -0.9992262322012105,2.899294466658715
7,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-2.438424931188988 0.1012638381416841 -0.08866910096318142,3.05825171532446
8,0.08614423355737344 -0.9156749334464602 0.7860901739314052,-0.11005167862617854 1.2094996572051246 -1.0065190315603838,2.787168391095624
9,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.028419250897383917 1.603337330085525 1.0825806579995303,0.9966764755252003
10,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-1.3835350441315148 0.7754151237710839 1.8194637914094096,1.9522458031714691
11,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-12.703894127924833 -12.169747339640095 28.787031383553682,32.74452511386495
12,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-2.31586798271029 -7.223238878708205 7.017086319833211,8.989164509576037
13,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-1.2442121360980818 2.4243475502618117 -27.220755502826187,26.385454829949914
14,0.9148960725127981 -0.3406532262795261 0.8666245946034528,-1.5831254578248186 0.6001266211875497 -1.5588568649784535,3.60667971938264
15,-0.12493961089274852 0.8220636377360309 0.6240310816508357,1.3311920874041114 -6.831560209795824 -7.967613686001003,11.598044547931881
16,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.5596534220757535 4.39627782567331 -2.1731975439073477,4.085387184245139
17,0.5571112550039472 0.8973849623655932 -0.5148396373250446,2.2173619760371284 3.3780083686965225 -1.7303434352435756,3.2229449923140847
18,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,3.353214957577907 -2.730314151241372 -0.36502411274868196,3.823909428591638
19,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.4415593214049675 0.3039130928747565 -0.4285472907034537,0.672196492830204
