,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,1.0701009794969716 -1.175452256589662 -0.09790699024874316,2.2645250561831247
1,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-2.8680232418592655 -1.7643589958278079 5.876358842349277,5.699259746434259
2,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-1.7435313561523211 4.088922683208256 -2.085579157325266,3.9231023094700563
3,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.7717856524510012 1.6133312979200112 0.20215587170477575,2.0974239959737977
4,0.512613474655695 -0.17235549206399403 0.8023499761471131,-1.1974375664618038 0.3756107691412208 -1.98433495866113,3.315140195004351
5,0.7762084997589942 0.8931872080179626 0.6363030078401679,-1.6306417315515274 -2.081374845044858 -1.2858778567184004,4.282023671064411
6,0.8403012869575546 0.6020867659417655 0.833801447025625,-1.3983358048996484 -1.0042319549200314 -1.4186712878031968,3.5588466225979993
7,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-2.5485300157585464 0.10583632397867551 -0.09267288173796931,3.1685225420628895
8,0.08614423355737344 -0.9156749334464602 0.7860901739314052,-0.0821819458664657 0.9032032640917464 -0.7516259051916582,2.3877232545152443
9,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.034323498030908034 1.9364389966076738 1.307492418336984,1.3949040491004046
10,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-1.9065359949678844 1.0685358862305192 2.507253592582681,2.864662566564735
11,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-13.754383985522722 -13.176068395301247 31.167442003656586,35.534249740180435
12,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-2.89328947001459 -9.024228126643113 8.766675005194655,11.565253977250064
13,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-1.264453915420107 2.4637886605745503 -27.66360323745364,26.830515816739442
14,0.9148960725127981 -0.3406532262795261 0.8666245946034528,-1.5804246779781337 0.5991028173721596 -1.556197486857793,3.602753656278306
15,-0.12493961089274852 0.8220636377360309 0.6240310816508357,1.4142041801674579 -7.25757093748865 -8.464467815967025,12.257661713831327
16,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.5628981918707765 4.4217666531093425 -2.18579735205814,4.114004704386515
17,0.5571112550039472 0.8973849623655932 -0.5148396373250446,2.322938318053031 3.538847135988577 -1.8127311248939326,3.432198995510224
18,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,2.9692568871388185 -2.4176810017219617 -0.3232272235638739,3.327039330171103
19,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.4580255293091894 0.31524632927019264 -0.44452826640352816,0.6466324085911712
