,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-0.2971833361109564 0.3264409899116968 0.02719026199226716,0.2494526456736299
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-0.2802367247223737 0.6572100331559478 -0.33521385786136726,0.19792605689315654
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.4467269081853332 -0.14012875683813358 0.7402939791725949,0.09607574545676202
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,-0.4230513230695323 -0.5399888675497485 -0.33360628399528003,2.1054552525805708
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,0.231782743244255 -0.009625561933734449 0.008428378171243006,0.38435315413241017
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08119796896234649 -0.8923890744029872 0.7426265742139275,0.04955583987016707
6,0.8403012869575546 0.6020867659417655 0.833801447025625,1.1672913764099941 0.8383045737555349 1.1842668652341168,0.5343663356616979
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.02361291791240784 1.332177012614141 0.8994919782792915,0.6757773033467893
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.22403193952418776 0.12556079070904314 0.29462065584276975,0.07061154295780114
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.31864973575081934 -0.9938749432822696 0.9655095706011412,0.18438804035649384
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.9699686342912044 -0.3676929053714303 0.9550994565245227,0.10766583719166409
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-0.06371072661624225 -0.13318012447728783 -0.016687920324961986,0.14909333390555293
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.48810739602265085 -0.3002753473309928 1.000094479978602,0.14333162659459858
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.15707211971435675 0.8060802443630657 0.9401272607965704,0.31812695808028923
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.09492822811528921 0.7456951889007029 -0.3686170477122517,0.014457906241727868
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.5431031486244878 0.8273827191705352 -0.42381666955524727,0.11567939210723684
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.518418987535189 -0.42211630207028406 -0.05643402923795582,0.16001092976681813
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.8410616248082746 0.5788795011289625 -0.8162769149100695,0.0593038645455327
