,original position,computed position,offset
0,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.4670868599307388 -0.14651524190337717 0.7740334952330765,0.05951650416508731
1,0.6151382512791523 -0.037300125163803655 0.00857015568308328,0.28011372383697275 -0.011632669281338307 0.01018585060478462,0.3360102122695292
2,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.07234977021087562 -0.7951448206997899 0.6617020435792282,0.17375327988344025
3,0.8403012869575546 0.6020867659417655 0.833801447025625,1.002242187862292 0.7197724810404246 1.0168174270895753,0.27123722436805947
4,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.01838237615708994 1.0370839827818787 0.7002438223158518,0.3405104650760516
5,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.2185526968384002 0.12248989802483302 0.2874149954488234,0.08016917793607925
6,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.2929736860055191 -0.9137908270215286 0.8877110696674883,0.1723260464852479
7,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.03614860270976582 0.07043555827999076 -0.7908557130918125,0.17821915447161507
8,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.9463820860738964 -0.35875178487010323 0.9318744793580166,0.07467579483011934
9,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-0.1413173940324284 -0.295408153817016 -0.03701564143742173,0.03228697959234905
10,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-0.16638609801633336 -0.15939024312524946 0.3770309935797329,0.5509170871338112
11,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.43990985292409923 -0.2706250406313859 0.9013414244130287,0.12556813926276256
12,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.4660425106165793 -0.37946939814905684 -0.0507324332299483,0.09580880255613414
