,original position,computed position,offset
0,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.4797979154208555 -0.15050243043241834 0.7950976345894599,0.04008757524018593
1,0.6151382512791523 -0.037300125163803655 0.00857015568308328,0.2778319598764062 -0.011537911319579906 0.010102878208790057,0.3382921446329646
2,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08214270887249638 -0.9027720382227 0.7512670485011985,0.03735166622370311
3,0.8403012869575546 0.6020867659417655 0.833801447025625,1.0469093632576034 0.7518507591699104 1.062134180775322,0.3424207764748755
4,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.01985926798130484 1.120406228073004 0.756503381324843,0.43180982483637614
5,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.22468016944061495 0.12592409721364564 0.29547313216163884,0.06948083721341493
6,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.3119111028086576 -0.9728570114223534 0.9450914943611123,0.17415240100124355
7,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.03635949083511022 0.07084647382664454 -0.7954695035636301,0.17362667674709403
8,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.9555245948795437 -0.36221750067398467 0.9408768376640924,0.08734466417246645
9,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-0.14110135041153343 -0.29495653887159834 -0.03695905255633852,0.031788374512488934
10,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-0.13594461164084448 -0.13022869674409188 0.3080505679851151,0.6317199139906663
11,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.45993857636806024 -0.2829463697850476 0.942378736940032,0.12085568019535232
12,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.5348805175304399 -0.4355199009643981 -0.05822599767929386,0.18073011867599179
