,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,0.510995959468508 -0.5613034332029196 -0.04675266856063274,1.4337778159004597
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,0.3853588411435651 -0.9037419953284229 0.4609589407979791,2.0722271667611327
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.4865566615239895 -0.15262250574434433 0.8062978980059418,0.03292315821235132
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,0.03236968646927963 0.04131713904748584 0.02552581738488926,1.285312246477275
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-2.1954744956174763 0.09117450003269047 -0.07983462899514948,2.814936082452175
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08338970922356395 -0.9164769313781613 0.7626719593701679,0.023593290957900553
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8711051417209859 0.6255948080183331 0.883773303155879,0.06323521104308144
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.015363789214605135 0.8667834654856915 0.5852561384313055,0.18634835742457198
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.22820404834822766 0.12789908802496702 0.30010732636214604,0.06333425883336832
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.32536122536390677 -1.0148082145521475 0.9858454024798575,0.19862343414855688
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.9920531411596506 -0.3760646363811532 0.9768454179525211,0.13912516345833076
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.3034211673429716 0.634267900901306 0.07947591456656851,1.0051928661426963
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.25069083281550336 -0.1542207258274732 0.5136462182769075,0.49752754849776576
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.1510616569251807 0.7752350802267132 0.9041527038326503,0.2852076406779722
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.12333047424489921 0.9688049920996168 -0.47890618219370873,0.23726019638021043
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.6195185772669268 0.943796710319163 -0.4834483114485031,0.08386977739584331
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.4619363460264048 -0.37612600399457713 -0.05028544456226946,0.09099537415834083
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,-0.11591893546590609 -0.07978380365315171 0.11250299410978246,1.5382468279860384
18,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.2835367328844541 0.5524713703029466 -6.203189840377383,5.262884193703498
19,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-128.4130014482824 -123.01375995532703 290.9839349670238,340.0264901904188
