,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,0.3046234227537692 -0.33461355194189696 -0.027870979517383435,1.127643750023186
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,0.22373109788095344 -0.5246932656739641 0.26762289817129686,1.6170603141810629
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.4818886839310147 -0.1511582601726842 0.7985623538878825,0.037519081642651914
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,0.005427263777865184 0.006927438496207042 0.0042797864052494805,1.3337966281432578
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-1.5589034764514467 0.06473873659129394 -0.05668682598234749,2.17741310661946
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08357644329566413 -0.918529192634083 0.7643798060814208,0.022047231447959573
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8661229465184891 0.6220167836192827 0.8787186537224259,0.05551143273732073
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.015594602035753266 0.8798053010627586 0.5940485410423213,0.19481740300452002
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.2251902975959627 0.1262100032977712 0.29614399316481393,0.0685910262532256
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.3257016181039063 -1.0158699063635768 0.9868767934127833,0.19943818360235077
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,1.012226628832439 -0.3837119437596053 0.9967096552394971,0.1680756179378895
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.1971572005113941 0.4121350030091648 0.05164191068553787,0.7573863242101713
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.2532906207363961 -0.15582007102751352 0.518972983595332,0.491572702729213
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.14705496501385368 0.7546730912445602 0.8801713613875253,0.2657788884541257
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.11339862758279215 0.8907867838187448 -0.44033969814988566,0.14970488126608916
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.5965729900303874 0.9088405838286149 -0.4655424635663665,0.06417687383313649
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.46102621603336363 -0.3753849418107007 -0.05018636967521366,0.0899361114083612
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.09197591845628554 0.06330448592752021 -0.08926553863473591,1.2152121257312194
