,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,0.3264003446010675 -0.35853440840071116 -0.02986342033913965,1.1599226678865946
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,0.2512416087179539 -0.5892108043985331 0.3005304497370093,1.6945337063349193
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.49334609568649196 -0.1547522072496567 0.8175490161732049,0.030201297096520613
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,0.026326634542233465 0.03360369959301652 0.020760437896781534,1.2961864353362198
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-1.6543631972965 0.06870302419230298 -0.060158053460898545,2.2730149712424983
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08506200738509964 -0.9348559700113895 0.7779665913743425,0.020858474794541493
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8571404299346628 0.6155658795106486 0.869605507706255,0.04179921051920212
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.015362954541130179 0.8667363754640133 0.585224343034481,0.18631943775932955
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.22600476411095827 0.1266664786550175 0.2972150844534918,0.06717036936782543
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.3268844219532525 -1.0195590953908735 0.9904606923104139,0.20233243435737633
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,1.0062725940220836 -0.3814549054588751 0.9908468930733224,0.15951684909165179
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.20362506859858928 0.42565535543182464 0.05333605660168193,0.7724692669097079
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.23587466500857396 -0.14510607202260947 0.48328903098802833,0.5315442875235077
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.14490163591119332 0.7436223964909457 0.8672829926906549,0.2563649800488179
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.11355593950220762 0.8920225252182616 -0.44095055812753586,0.15109132512454815
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.5952632727808753 0.9068453138288176 -0.4645204109339096,0.06385216719001059
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.46331148635551095 -0.3772456951411337 -0.05043513952214745,0.09260127777329812
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.06379186954959536 0.0439061830093265 -0.06191202753324921,1.2590030449028098
