,original position,computed position,offset
0,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.48820664995741975 -0.15314007212267852 0.8090321781233736,0.03177384582679568
1,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-1.3729376004359768 0.0570158749489941 -0.04992449886486602,1.99117119421229
2,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08374667963672623 -0.9204001390724184 0.7659367665865325,0.02083832192424251
3,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8790625547363486 0.6313095214659354 0.891846437899716,0.07566786825210614
4,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.015887308684881595 0.8963190191409117 0.6051986786007801,0.20677965260716957
5,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.2263761751005731 0.12687463940938631 0.2977035208326078,0.06652252843031985
6,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.3228748244121752 -1.0070530799085975 0.9783116007976053,0.1929305579932939
7,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.22450095031696196 0.43744013833463385 -4.911610569797892,3.9648676961460705
8,0.9148960725127981 -0.3406532262795261 0.8666245946034528,1.0033455773648452 -0.38034534044746937 0.9879647462494622,0.15531326806544862
9,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.1672608331707001 0.3496400020050906 0.04381107555486292,0.6876687317681851
10,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-97.47259210453186 -93.37426827609416 220.87294964003593,257.85983859061537
11,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.25969939995192515 -0.15976264272503668 0.5321040788605935,0.47691329653266284
12,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.46837285522474004 -0.38136685266402937 -0.05098610977134335,0.0985634169094348
