,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-0.11253013289375542 0.35377560310870915 0.23418776075853284,0.41261842734669024
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,0.31370058463939365 0.0450443878995834 0.5395030993494233,1.4021317287651798
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.5872056984738188 -0.11064169581174152 0.7747569876986258,0.10066759912462385
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,0.6795749001673966 0.7299586221075987 0.002128605263477212,0.6619356439351403
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,0.48523071204443546 -0.0760351409712269 0.023844011455317237,0.13641723083896637
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.09366404125528202 -0.9395757697234397 0.8194553423138554,0.04172567487461116
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.7342582308242777 0.6745568105219747 0.6757148595413107,0.20368703016632791
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.09548688237246751 0.8944830898463451 0.5131974603741656,0.12644940188659998
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.17487573643811496 0.0878875269696879 0.28824041310812754,0.12310370373780298
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.36052613280154705 -0.9602425400410181 0.9109289814453598,0.13756716399114485
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,0.9412996418785674 -0.347676744051588 0.9246781370215419,0.06416145310415229
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-0.2847967701674718 -0.28121607771794166 -0.02316054421290037,0.15861533316401288
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,0.24428218559910497 -0.2653407226631284 0.6056651242259554,0.7156498862856281
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.09977049570684159 0.9020205295801174 0.7444360294386168,0.1467103962382581
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.07914797078896012 0.8888936622905208 -0.32119580350108856,0.1402168749037292
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.5689003117217186 1.0192700268090877 -0.42885131817788946,0.1496293481321183
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.45851223024245497 -0.3395303595480437 -0.10311368422078353,0.07690658492927582
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.39190927129442843 -0.38063116916278905 -0.4546864992235197,1.1625591589870008
18,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.05166734215984078 0.05818921143081414 -0.9331969943578491,0.03563332802607798
19,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,0.08810229400429057 -2.1812959324461456 0.16207437281653933,2.0103831258903555
