,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,0.15729968244018333 -0.17278581201941057 -0.01439185532008478,0.9095176394929189
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,0.11146513141199045 -0.2614075752690156 0.1333324772285081,1.300904839372808
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.4973458750249276 -0.15600685320012922 0.8241772548308915,0.03125392272860811
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,-0.002589079676022483 -0.0033047389903131546 -0.002041674857363829,1.3482237999355828
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-1.0570824872560765 0.043898923654669506 -0.03843897451590462,1.6748508417881267
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08471451827660334 -0.9310369645872526 0.7747884989969469,0.01912495602292737
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8739071591364125 0.6276071110838444 0.8866160692791959,0.06760197471124609
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.015356527530550034 0.8663737808966476 0.5849795175333465,0.18609718614654186
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.22725585690770522 0.12736766528556476 0.2988603756609892,0.06498813526418733
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.33196158670276277 -1.0353948744966193 1.005844515383797,0.21578366844653268
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,1.01659699216422 -0.3853686484551811 1.0010130228901934,0.17436397476449214
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,0.07495916823772408 0.1566937294051988 0.019634254600663398,0.4724261560396782
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.2548243004487535 -0.15676356463583663 0.5221153752633996,0.48806193451004265
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.1522346620285894 0.7812548388071304 0.9111735174358122,0.29130938247000726
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.11403935061489441 0.8958198924308244 -0.4428276981598294,0.1553519027894423
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.5886432669661543 0.8967601607123593 -0.45935441470660493,0.0638221598232813
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.4625515690572025 -0.37662694180154965 -0.05035241648139799,0.09171304539982476
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.2795081711668471 0.1923777591486436 -0.2712715227070777,0.923867405279971
18,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.18375006744420322 0.3580370364058879 -4.0200666063364805,3.0688893273969478
19,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-72.21831225896545 -69.18182760630474 163.6467370187157,190.79351159654962
