,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,0.02919668348371177 -0.03207109248885637 -0.002671298746478255,0.7204084941598273
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,0.03805353339167662 -0.08924299256930349 0.04551891528891342,1.0941695912336094
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.483655383974815 -0.15171243650795183 0.8014900427766988,0.035573111249558476
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,0.0541553915453025 0.06912473016295169 0.04270540699566223,1.24611306478102
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-1.825435993667795 0.07580740035767508 -0.06637881952159648,2.444343123686236
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08316526836889863 -0.914010261717423 0.7606192510925623,0.025698507268358782
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8534998292000222 0.6129513375815772 0.8659119630551824,0.036377543538937115
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.01554467775089799 0.8769887078360297 0.5921467644844542,0.1929086057922376
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.2342205068884614 0.1312710683469888 0.3080194703392023,0.05284055788451718
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.3252026889278069 -1.0143137362150927 0.9853650366449922,0.19824679701451828
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,1.0065567937583078 -0.3815626390731632 0.9911267361569194,0.1599251422565153
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-0.01721425110504448 -0.0359844601798756 -0.0045089746444931375,0.2574943221369984
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.25333293015476416 -0.15584609906027708 0.5190596723365921,0.4914758300324914
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.1489366422180383 0.7643296924499167 0.8914338059186777,0.2746147900179277
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.11639175352285921 0.9142988587578371 -0.45196234474683394,0.17608698203014633
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.5996134055769587 0.9134724613802396 -0.46791508614142513,0.06532345621337957
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.4489622424854857 -0.36556199931680095 -0.048873110222345625,0.07622487773678738
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.30554017576757775 0.21029486937239558 -0.2965364067270246,0.8834313342292031
