,original position,computed position,offset
0,-0.4977302646810362 0.4443278609184298 0.11724711913775465,-0.02324443698220563 0.02553284823338216 0.0021267085149516652,0.6432563814521208
1,-0.3450368296959414 0.8216408197064944 -0.4243103607504046,-0.0058609216753980125 0.01374500980351067 -0.007010723406719223,0.9705024078112993
2,0.512613474655695 -0.17235549206399403 0.8023499761471131,0.4987379943902682 -0.15644353152073429 0.8264842069431736,0.03206525435801212
3,0.7762084997589942 0.8931872080179626 0.6363030078401679,0.04190515543291036 0.0534883504500807 0.03304521797209964,1.2681543809512246
4,0.6151382512791523 -0.037300125163803655 0.00857015568308328,-1.4668508970938734 0.06091594205808494 -0.05333949330518448,2.0852237324664764
5,0.08614423355737344 -0.9156749334464602 0.7860901739314052,0.08479803383664541 -0.931954824655387 0.7755523219723263,0.019439481355582645
6,0.8403012869575546 0.6020867659417655 0.833801447025625,0.8619824423461733 0.6190432299244188 0.8745179357219908,0.049146989954032126
7,-0.173563804343845 0.7951196108575662 0.5177079521656238,-0.015323207998059009 0.8644939829224944 0.5837102693910001,0.18495728077151294
8,-0.2645921270088172 0.14706168674613762 0.34827298719654376,-0.23353327105479774 0.13088590061214855 0.30711569799110466,0.054039162141591685
9,-0.44256075179207244 -0.8579465773270412 0.9525292447626337,-0.33131916470299055 -1.0333911473412132 1.0038979749679284,0.2139958744659809
10,0.9148960725127981 -0.3406532262795261 0.8666245946034528,1.0200958215771085 -0.38669497459268987 1.004458216840371,0.1794016087159647
11,-0.12686780270204845 -0.2676748721769373 -0.02898299236916002,-0.05471894348970229 -0.1143838108945123 -0.014332678619764068,0.17005363579674168
12,-0.3780772394156695 -0.3718552780709161 0.9425303128729765,-0.25863259286863743 -0.15910636119748825 0.5299182732696684,0.4793514581652631
13,-0.12493961089274852 0.8220636377360309 0.6240310816508357,-0.15062104952022812 0.7729739219428736 0.901515526506349,0.28296104612367123
14,0.09126475467595352 0.7590592291615956 -0.3727416620165367,0.11604343509215233 0.9115626928866264 -0.45060978487986786,0.1730165714882789
15,0.5571112550039472 0.8973849623655932 -0.5148396373250446,0.5941684101386411 0.9051773610055938 -0.46366602251832534,0.06366076559096603
16,0.4223026077875325 -0.29424786652082147 -0.052586643219004525,0.4567347433643205 -0.37189066282584937 -0.04971920874958838,0.08498351580676551
17,0.8959876213106324 0.5987296292268078 -0.8265752484042328,0.3906565923413657 0.26887814949215044 -0.37914458177589805,0.7512360807108223
18,-0.048536591349215064 0.0622760434647156 -0.968456464993446,-0.4559831422270255 0.8884832270528731 -9.975956083258954,9.054483992756747
19,-0.3900813930121154 -0.3510283093689892 0.8425896939163429,-42.333276411219124 -40.55333528411872 95.92722863926164,111.42955468722843
