,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.563706144565043 -0.6769037899509748 1.5885928565420016,1.897095813467945
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-1.8878993598714315 -1.722305209216718 0.19822699102944455,3.2610737688182163
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.1697205924539881 -0.29177081286001927 0.6801538227267702,1.6898853447005493
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.9879015911957834 -0.22365622599900023 1.563124722430018,0.7902916133884473
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.6711694372633852 0.19723848578727218 0.8029957341283709,0.33240634485950027
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.08481700237943189 -0.60166972155436 0.9343985056987764,1.6821024730540965
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,26.69301797579261 -0.4973591124721932 -1.7747396284068477,27.321428957115106
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.4799191770109167 -0.25754486611790434 -0.23767242489731144,0.08946875628447568
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,2.2433501581410225 -2.6196161685957233 0.06930697955403112,4.4739015026917945
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.4009910120391278 -0.21803285291693017 -1.5636577014768727,0.760007148966975
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.3106961772078902 -0.6659450645921757 1.9858124620967477,1.1795229318365703
11,0.8969754088827306 0.5653212772241771 0.944461869046135,0.3250877784631195 0.20253762160765193 0.34178782889268783,0.90657787381136
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.34650270224806723 -0.04254372095691814 -0.28828993905910066,0.3952979440295018
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.04384019905258838 0.06866733135967647 -0.02171739340942734,1.2455109496894496
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-0.3974180319935432 2.336343170287063 0.9586102521536576,3.6407624909825915
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.03746795616476339 -0.012386223736592242 -0.04506074920869905,1.2390780289158037
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.10533048411131576 0.07507371690284947 0.06277305649885163,1.088997029598951
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.03108996341117769 -0.01643073906697073 0.041926044576384124,1.1288689951144124
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.8450534511980191 -0.7509281333543922 0.34481875676239365,0.22027145845035234
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.1392373774743226 -0.15924068991487939 -0.1579488824744712,0.5775863045646525
