,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.2311021546673513 -0.5890852613759068 1.3824957874496762,1.4965807166691154
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-3.811618969559511 -3.4772887508519923 0.40021506196071216,5.872167997740243
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.41926091016350003 -0.7207616635677225 1.6801845117581597,2.806271076812708
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.8965623979211556 -0.202977466661373 1.4186016723541843,0.6187862214355804
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.33432318105419795 0.09824851123075921 0.3999885473053755,0.8611580759039613
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.0807090783341331 -0.5725291784183911 0.8891429793093867,1.6281205902739704
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,13.405213568060155 -0.24977337252599022 -0.8912729076970203,14.00232660151721
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.3212886800278775 -0.17241705280115466 -0.1591131659915833,0.24983846010522878
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,1.5064157888165943 -1.7590794476248501 0.04653982700672012,3.3407320157124825
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.5307420522732387 -0.23822569443274164 -1.708473914852435,0.9523184846747887
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.39055868130147003 -0.837122067557056 2.496253103203085,1.7236491738882591
11,0.8969754088827306 0.5653212772241771 0.944461869046135,0.0406363153843034 0.02531741644593681 0.04272383931214218,1.3557478699882426
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,-0.022818927586890525 0.0028017157773787575 0.01898532738919033,0.8776433371917943
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-0.30868957152880655 -0.48350348660640086 0.1529174823827085,1.9169190092046733
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-0.06234492797143248 0.3665136831799859 0.1503819210804381,1.48553912277553
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,-0.07177907468707867 0.02372885445819544 0.08632493506407747,1.413673000568644
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,-0.04242295061116813 -0.0302367221724774 -0.025282502952787257,1.2899186499189346
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.2338938839524624 -0.12361061110807038 0.31541514780969115,1.4840823317457408
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,0.018740775395242635 0.016653355435934714 -0.007647055773087073,1.0197565550466559
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.13606732849892522 -0.1556152209850344 -0.1543528244178211,0.583524206722736
