,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.639114976498671 -0.6968142325888181 1.6353197140579834,1.9879296894910115
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-5.804998247401447 -5.295821871391653 0.6095173079522377,8.578261320964815
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.29040129378685314 -0.4992359519765535 1.1637807011985057,2.2297802460101033
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.7982087858688985 -0.18071067624315787 1.2629799344105452,0.4347361714083674
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,-0.03052685438397979 -0.008971014173551957 -0.03652272062125251,1.4386597622740467
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.06695551444126126 -0.4749649787219041 0.737624896979132,1.4473864976255153
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-0.36549370076418175 0.006810081302575298 0.024300592584455487,0.24252068185512007
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,0.15131824153864817 0.08120374872492604 0.0749379793941208,0.825799033655367
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,4.910060525946364 -5.73360065787115 0.15169342300214725,8.574489520189406
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.331182837744615 -0.20716877508376727 -1.4857442185040046,0.6573159167759266
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.042158951941494355 -0.09036334539459533 0.2694586489821538,0.6518546479478227
11,0.8969754088827306 0.5653212772241771 0.944461869046135,-0.21380168145259829 -0.13320366659689342 -0.2247848653762289,1.7575268895557221
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,-0.695739678075759 0.08542315696435882 0.5788547912964441,1.7568141740164456
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-0.7377086436070434 -1.1554802435248412 0.36544334152158015,2.7383814542173845
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.4312736804210702 8.414179073076696 3.452368823847497,10.291082138266942
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,-0.24146416196582757 0.07982365307905936 0.2903963055092752,1.6848792553745036
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.3852252306933599 0.2745671412878395 0.22957993001856486,0.7095657110800835
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.1170255995559472 -0.061846875309227896 0.15781364676024992,1.2792681968278676
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.6885937681917764 2.3891278082283236 -1.0970638120851466,4.749626128115216
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.17206019690991867 0.1967789465718588 0.19518261772253576,1.1642421032311996
