,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.6709566054640907 -0.705221482916863 1.655050284358469,2.0262868948761783
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-6.082814384645678 -5.549269799046436 0.6386876430431389,8.955421219826595
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.3508796224497921 -0.6032057228762453 1.4061470860753182,2.5003470917413955
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.8608701152080789 -0.19489690345544314 1.3621269283047894,0.551887478813526
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.0044281266473473625 0.0013013062668023763 0.0052978675883964274,1.3832798623334115
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.0773371903255384 -0.5486098832024635 0.8519960980447099,1.5838109256687098
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,0.8799995883274552 -0.01639664029834908 -0.0585085636926769,1.4533363520099694
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,0.0025330115071259124 0.001359320778846389 0.0012544341131374506,0.6426779845665168
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,4.270251138170497 -4.986479210532819 0.13192688945581726,7.590655116469216
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.3809313124992728 -0.2149110102486 -1.5412689042574317,0.7304259901179998
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.25747936447927255 -0.5518803403061219 1.6456775725746065,0.8170473794051418
11,0.8969754088827306 0.5653212772241771 0.944461869046135,-0.14996766074556955 -0.09343351346232412 -0.15767163383583926,1.6567274741097386
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,-0.5680418079081628 0.06974436854523251 0.4726102772717384,1.5899691409131251
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-0.6183285977539755 -0.9684941133639656 0.3063053020725219,2.509559876662996
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.4418224072357548 8.476192982523843 3.4778133604755914,10.358937775197415
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,-0.22683958321868028 0.07498903376812044 0.2728080903338817,1.6615041563934425
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.3231801144909783 0.23034482969132813 0.19260334515132133,0.7934585170555601
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.11054905516553512 -0.058424085467788135 0.1490797706465289,1.2679262737907566
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.9636732490692603 2.6335678738911295 -1.209308267714016,5.1342712340532515
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.10847304205232108 0.12405664604508086 0.12305026194514508,1.0440826124140594
