,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-1.3292995039816142 -0.350979332843065 0.8236964679851372,0.41553405942369825
1,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.36183299647263256 -0.6220359354980305 1.450042638793299,2.54935019722062
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.8862349343990382 0.2604403997079691 1.0603028568458135,0.08005621578716608
3,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,-0.014404177720059532 0.10217948471318973 -0.15868566159922548,0.37829359558949216
4,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-0.7784211877848817 0.014503975213194043 0.051754916990136145,0.2571379330917751
5,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.488783817931502 -0.2623020062123987 -0.242062498902192,0.08509040730024561
6,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.4036118246607902 0.4713076368755463 -0.012469349190993366,0.4041922129828532
7,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.46616925250918034 -0.10553850365477906 0.7376045245071486,0.20591775758601416
8,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-2.365837296946777 -0.36818955365016853 -2.640530651533357,2.2034717220457796
9,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.12379342105977749 -0.2653383717965048 0.79122479225616,0.1001776240929873
10,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.5264967623007532 -0.0646434535567003 -0.43804483640024644,0.16070734834312603
11,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.409690982356489 0.6417029814759344 -0.20295118253130448,0.5655822308886126
12,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8352270361924731 0.520366832037099 0.8781333973312869,0.10115942779593194
13,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.8057852474235346 -0.2663779234272579 -0.9690757294193726,0.03379679697459663
14,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.6311335546398981 0.3335478596597358 -0.8511085457234907,0.1348603836314187
15,0.5812613831893376 0.3933166323329458 -0.05075408086126254,0.26447232512865687 0.2412745472267989 -0.027769252077284905,0.35213691272660824
16,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.6906390928400721 -0.613713042734429 0.2818109470199858,0.10709734775469217
17,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.35951678362303907 -0.41116618036467106 -0.4078306790469914,0.17736800378101397
