,original position,computed position,offset
0,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.17411202622863872 -0.29932023384379364 0.6977524560210172,1.7095313632095417
1,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,-0.03721063652644491 0.26396256280752295 -0.40993624144917945,0.07890120123888443
2,-0.557423006178962 -0.0753341992517127 0.14771752830516927,8.525478904502735 -0.15885145041258597 -0.5668338168688598,9.11134819196351
3,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.40689425475620294 -0.2183566137490417 -0.20150798058751304,0.15319721570294326
4,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.44277370487606227 0.5170379452860476 -0.013679232374645101,0.3440761313189528
5,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.6565888309104413 -0.148648591381226 1.0388992620461668,0.17494987607359438
6,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.8472466238981202 -0.28748253770983245 -2.061727295296009,1.4250564623171393
7,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.14046924898752175 -0.3010812811759114 0.8978082308175489,0.037804380538222174
8,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6118914154183851 -0.0751282384368148 -0.5090931115898305,0.05135449971599935
9,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.5816703869815879 0.9110760002951612 -0.2881456950854583,0.28833183899319015
10,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.15864173824826397 -0.9326238666614433 -0.38265902516152983,0.07022015247771318
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,0.37946574640663283 0.34618149973839796 -0.03984341258214722,0.20751443909169265
12,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7652412638834573 -0.6800057357781345 0.3122518946718612,0.1331257910319555
13,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.3443226957347885 -0.393789258435798 -0.39059472383366767,0.20272816558661869
