,original position,computed position,offset
0,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.2070601781715771 -0.3559622060148061 0.8297918931438129,1.8569323873514192
1,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,-0.033922525067478324 0.2406375566123514 -0.37371229639527526,0.12197246079133428
2,-0.557423006178962 -0.0753341992517127 0.14771752830516927,9.059146767347602 -0.16879504595731468 -0.602315810904038,9.646227197661114
3,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.4201528051027861 -0.22547171091018425 -0.20807406913417642,0.1394511222172849
4,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.4544639514432051 0.5306889390067671 -0.014040395645064707,0.3261382174183501
5,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.6397087706756407 -0.14482702595365995 1.0121904889211162,0.14573833167091638
6,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.9643075187391064 -0.3057004424985579 -2.1923799320273925,1.6005197954703032
7,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.13953867978345577 -0.2990867025033372 0.8918605042028079,0.03505592620097466
8,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6101724593535314 -0.07491718441996045 -0.5076629416778302,0.053465047912788013
9,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.5511888021512713 0.8633323966814851 -0.27304584189572395,0.3303687654959426
10,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.15970119482629855 -0.9388522054408649 -0.3852145356206831,0.064099535620087
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,0.3571988339382474 0.32586769480120864 -0.037505415572378305,0.2343691794647801
12,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7561748175204445 -0.671949145234799 0.3085523881392094,0.1256992408641407
13,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.35126903659335035 -0.40173353410922685 -0.3984745531998803,0.19101288025910987
