,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-4.053596346358678 -1.0702844144593415 2.5117988708579873,3.692525475332839
1,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.4784956267604302 -0.1083291362135836 0.7571081476430638,0.18394269335938918
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.2138302131593068 0.3567117630125801 1.4522420554447197,0.54355682318965
3,-0.557423006178962 -0.0753341992517127 0.14771752830516927,4.970024499501123 -0.09260425240333038 -0.33044219433773653,5.548117780215448
4,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.4761257715984131 -0.255509164825076 -0.2357938005242997,0.09168061648002723
5,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,1.1878038829922626 -1.3870283449578684 0.03669650015803219,2.850813203898176
6,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.16704767878215968 -0.3580493916477234 1.0676840805414416,0.20274865542357065
7,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.6052804834062597 0.9480567245998593 -0.2998415761163369,0.26021860023642257
8,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.07168382273918457 -0.4214152257678215 -0.1729082272554363,0.6237885348329799
9,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8072679796748305 0.5029476573260458 0.8487380590314896,0.14526162300486287
10,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.7277575064272063 0.5187051163051682 0.43371644452083713,0.25605314887713343
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-0.6835785069951403 -0.6236194833958173 0.07177485911286857,1.6275725336852336
12,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.3719852074125785 -0.4254258600743345 -0.42197468002933564,0.15744578192123213
13,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.12446270662184832 -0.21396687671627004 0.4987832323217972,1.4874154615273472
14,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,-0.009872777888441158 0.07003491465700425 -0.10876485430110441,0.4378299731423483
15,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.707709070517953 -0.2657666447518578 -1.9059882733371405,1.2162442184290378
16,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.7894101532907418 -0.26096461561979134 -0.9493822610395697,0.048702639929154294
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.6685632199679681 0.35332906867037256 -0.9015839289289787,0.16826730201105222
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7307159506408157 -0.6493259852960584 0.29816405730218676,0.11010069366626536
19,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.64750091920424 -0.07950038555904747 -0.5387201869625339,0.017995112730370837
