,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-4.233733334737878 -1.1178465776981872 2.6234202177681403,3.9096606353807
1,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.13336567035377048 -0.22927217896255123 0.5344617833350237,1.5272444338425055
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.156059755288122 0.3397345930147776 1.3831247377397422,0.45302881678733914
3,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.04091473886700529 -0.2902384999584717 0.45074300890002117,1.1051895960167355
4,-0.557423006178962 -0.0753341992517127 0.14771752830516927,3.48403625477904 -0.06491649543222526 -0.23164324145624973,4.059238362078538
5,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.5099598078920736 -0.27366593530828776 -0.25254957490294055,0.07993752559997133
6,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,0.6048446881481364 -0.7062922918262023 0.01868631978058419,1.9544323753802777
7,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.39727901392962306 -0.08994208098860582 0.6286017290693314,0.3319221538054286
8,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.644770687676615 -0.2559716959970461 -1.8357422216475454,1.122232844155897
9,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.20452676840570558 -0.4383819370446624 1.307231421971004,0.4566889272829584
10,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6576826834415529 -0.08075050607398435 -0.5471914057219988,0.021408962387385932
11,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.6310575431867542 0.9884315847436776 -0.31261091932848345,0.235765699673761
12,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8330140628902378 0.5189880956495457 0.8758067416078875,0.10464866945910563
13,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.7858294208367278 -0.2597808907023911 -0.9450759015897978,0.053136310895318985
14,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.6180584067757334 0.326637772955005 -0.8334761919974426,0.12921126308569472
15,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-3.5316483943270476 -3.2218753583800974 0.37081851366753743,5.492118299906091
16,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7449213795693197 -0.6619491586748041 0.30396049341573556,0.11773599857731963
17,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.39565256807316557 -0.45249335379204103 -0.44882259425516463,0.12329741231051398
