,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-4.202111116595977 -1.1094972591336205 2.603825604729226,3.8715431261660913
1,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.41778908997389885 -0.09458546474655959 0.6610541587540746,0.2940549538657238
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.233465027769295 0.3624819022462413 1.4757333998010846,0.574407427769613
3,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-1.0161787491149186 0.018934005934856876 0.06756271236301052,0.4751506294897861
4,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.5025022216474089 -0.26966388008118186 -0.2488563225980634,0.08082464974737223
5,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.19333989576671298 0.22576783884901452 -0.005973122008730896,0.7272659768538304
6,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.2504565455934782 -0.5368276556591837 1.6007912743658967,0.7692270467077487
7,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.6584007757872402 1.0312595566506944 -0.3261561073591744,0.2193003451922527
8,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.2775326340750675 -1.631560276468777 -0.669435221640602,0.7016761125255575
9,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8442145743363455 0.5259662876929642 0.8875826333616501,0.08699292106306176
10,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.7796285514743966 0.5556759152546186 0.46462966085012525,0.19329834601918966
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-2.8627040551144782 -2.6116064295425443 0.30058022324440914,4.584091659343624
12,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.3929916480001595 -0.4494501569441832 -0.44580408471764693,0.1268036775234307
13,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.10253185903369104 -0.1762650213610304 0.4108955481754715,1.389304352014296
14,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.04537222899549742 -0.32185877383284683 0.499849579497712,1.1637643560551494
15,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.5171350094933218 -0.2361080631763143 -1.693286981421525,0.9320887242872009
16,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.8342027639001484 -0.2757722366790883 -1.0032519886595554,0.047552241207620964
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.6262655787095611 0.330975182386436 -0.8445438877612784,0.13231839711691837
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.732767352508814 -0.6511488940994148 0.2990011189587487,0.11101624323086165
19,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6812497655634726 -0.08364408052249162 -0.566799197016697,0.046126206202368715
