,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-3.789688822260959 -1.00060404035054 2.34826936165191,3.374426608829326
1,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.114446984149434 -0.19674860376009404 0.458645310172899,1.4426084727318091
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.2140205140773328 0.3567676872886741 1.452469733906955,0.5438556609024129
3,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.04915977998136233 -0.3487266739366932 0.5415756707549567,1.213535719819021
4,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-0.9208842785627186 0.017158426517784906 0.06122686553555875,0.38488909713173497
5,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.5029043696644595 -0.26987968966365367 -0.2490554800790697,0.08075012798286935
6,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.0877370861986836 0.10245279309495131 -0.0027105855130263477,0.8895920750322746
7,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.41179805628649735 -0.09322912318754337 0.6515747400010863,0.30509521127373385
8,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.5125864001937457 -0.2354001740793331 -1.6882102408135031,0.9253289097842049
9,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.2315179821469141 -0.4962348071373742 1.4797455774269457,0.6402994374518957
10,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6715041818397458 -0.0824475144010312 -0.558690880055298,0.034747166576910404
11,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.6536640309571354 1.023840347024733 -0.32380963646765193,0.22134719470481992
12,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8574336193455498 0.5342020754200396 0.901480752556073,0.06617653825534865
13,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.8744199012980505 -0.28906728964822137 -1.051619034201339,0.1043990472435899
14,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.6514307194337168 0.3442747110913665 -0.8784800747492821,0.15033778222788316
15,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-2.5064714918733304 -2.2866202505098685 0.26317626484547835,4.100574138546892
16,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7159317228960181 -0.6361884819490828 0.2921314459644944,0.10559384878231044
17,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.3890781016344513 -0.4449743772750051 -0.4413646138931578,0.1321415735945828
