,original position,computed position,offset
0,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.10432935985270737 -0.17935514889062376 0.41809901733458316,1.3973457329394399
1,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.041937307952159136 -0.2974923386874363 0.4620082858885561,1.11862690701503
2,-0.557423006178962 -0.0753341992517127 0.14771752830516927,8.393381792420117 -0.15639014377108396 -0.5580510715148599,8.978952384619161
3,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.4933289962975537 -0.26474114057051623 -0.2443134270075837,0.08331841224060746
4,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.11220206701591476 0.13102116396680435 -0.00346641666097994,0.8519839915018739
5,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.4311557315433559 -0.09761160888313042 0.6822037632078833,0.2694992536333845
6,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.4918077502201477 -0.23216644288864416 -1.6650190170452517,0.8944672271427441
7,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.2252591924143765 -0.48281973981932746 1.4397425662531065,0.597704931175157
8,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6736216450899111 -0.08270749726715923 -0.5604526075898585,0.03714482254712973
9,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.659304035763283 1.0326743415608741 -0.3266035608989539,0.21895088818066627
10,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.29071007745295524 -1.7090278983663976 -0.7012204736983713,0.7863746879065704
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-2.320385392331552 -2.116856403232834 0.24363746507222964,3.848011052568509
12,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7161929968669498 -0.6364206542158285 0.2922380571684405,0.10564003901653288
13,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.38598587334551615 -0.4414379090145687 -0.43785683450623764,0.1364969349135178
