,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-3.440501928372994 -0.908407072934809 2.131896745623163,2.9535668676456783
1,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.3641319810798503 -0.08243775025737222 0.5761542515225407,0.3934509871094006
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.2407224336677833 0.3646146569139719 1.4844162534201137,0.5858185738055243
3,-0.557423006178962 -0.0753341992517127 0.14771752830516927,13.100964973468779 -0.24410444400265466 -0.871044320648599,13.697369138012704
4,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.5021966775634522 -0.26949991224250147 -0.24870500669566642,0.08088327349239316
5,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.17903112698189153 0.20905913114888564 -0.0055310610393302225,0.7492590107189071
6,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.20666697368186304 -0.44296924530728526 1.320910529152278,0.4712383048285577
7,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.6803754739813299 1.0656787407564141 -0.3370418509472002,0.21466119450709367
8,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.2718419246225211 -1.5981057044735107 -0.655708686898647,0.6651041037797072
9,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8724865966856385 0.5435804477568554 0.9173070148282593,0.042541176480507634
10,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.804628514157999 0.5734944996551903 0.4795287100973351,0.16539036570627372
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-1.8851450475318237 -1.7197924870922505 0.19793779179613755,3.2573361017289066
12,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.392765102969715 -0.44919106568866596 -0.4455470952868066,0.12710697577115745
13,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.0893884321439287 -0.15366983540307527 0.3582233773236921,1.3305054616622225
14,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.042390227281106335 -0.30070523042953284 0.46699793574999676,1.1245786031622989
15,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.4492855043031312 -0.22554880829281032 -1.6175595852995333,0.8314141477364145
16,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.8631263931414778 -0.28533386159083796 -1.0380369232238442,0.08739972053576506
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.6496763178970948 0.3433475271804145 -0.8761141949295956,0.14872502278677618
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7136104992018595 -0.6341258051168879 0.291184285205311,0.10523831975422769
19,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6873797189741008 -0.08439671831056278 -0.5718993127841057,0.05359680380090868
