,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.161142130230865 -1.8210419466173755 1.6768308439785355,2.199877021855596
1,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.517841493058159 0.05239257585178176 0.431246983252612,0.5207517428012285
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.1002262028716498 0.5753276998670073 1.0064235323863813,0.3481710574473494
3,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-0.6800604395588469 -0.04899237571877743 0.12755630545298702,0.127044506531929
4,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.5771839843535637 -0.20410056781971217 -0.23344234545678763,0.08944315300697353
5,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,0.6917152165337239 -0.7881001115822326 -0.2198428964907041,2.0816839776308447
6,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.0878434241771609 -0.2320767268712288 0.9155029662358374,0.07355114510252676
7,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.7543614598138858 1.2435237564473578 -0.34516697906229804,0.29487613278188496
8,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.4569465615497379 -2.2146275914209443 -1.3962575110304232,1.5943237272498723
9,0.8969754088827306 0.5653212772241771 0.944461869046135,0.875381671170309 0.616010998141086 0.870246282454302,0.0924320864645867
10,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.9672246598112834 0.5221332122390288 0.4511505362176468,0.07190585022051808
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,0.5111921592103859 -1.9151838890801973 0.39111027428422884,2.3514524153939216
12,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.4787196663340569 -0.464659501622636 -0.3507089415618181,0.1479631102986525
13,0.1973895539656756 0.35119748659011174 -0.8389032481338454,0.18729378791506635 -0.16166617631426203 -0.712807754765645,0.5282339771991288
14,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.10490105979966584 -1.2907303227850415 1.0529616920857856,2.2163988418048133
15,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-0.8741514656806146 -0.3802883673475989 -0.8836931996414855,0.14035722344890164
16,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.7686202940135367 -0.22723204111335887 -0.9706977401164638,0.06050653259833763
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.41841727901280024 0.2795389882456354 -0.9772151950836865,0.14286822502225446
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.6904666289445467 -0.6419370954217429 0.19904283637966838,0.05766971659292982
19,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6268614465405796 -0.03202456311114145 -0.5372944415211891,0.04486707244747604
