,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-3.6894303760890046 -0.9741324720967979 2.286144514880991,3.2535855123127875
1,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.39032300556169525 -0.0883672737472235 0.6175954621028242,0.3448053236976684
2,0.9320557867697403 0.27066143518541974 0.9954570581542073,1.244800065388574 0.365812962232352 1.4892947843772029,0.5922317930922623
3,-0.557423006178962 -0.0753341992517127 0.14771752830516927,15.054406400188267 -0.28050204786823146 -1.0009228497424134,15.655372431778803
4,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.4967693771387584 -0.2665873939931472 -0.24601722151355057,0.08220826267276062
5,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-0.20331274441178707 0.23741338400066517 -0.006281227283616899,0.7119377424088227
6,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.21613011971869553 -0.46325251836000414 1.3813941614243586,0.5355935959727998
7,0.8563276462929132 0.9863602491364221 -0.2430799524288303,0.6710175471314268 1.0510213286613848 -0.3324061562357732,0.21563872273581336
8,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,0.27371083718354683 -1.6090926772485339 -0.6602166825031522,0.6771144816472496
9,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8646879633284151 0.5387217088050884 0.9091077586885891,0.0547716103440296
10,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.7943759423231502 0.5661870360851745 0.4734185580698619,0.176571551926705
11,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-2.108542325896397 -1.9235948212793565 0.22139421708852824,3.560503808924829
12,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-0.38920995493675953 -0.4451251730685483 -0.44151418638675066,0.1319584549129059
13,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.09825197213416546 -0.1689073633328094 0.3937439380292853,1.370157674292952
14,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.04464969374109301 -0.31673329694572533 0.49188966765114717,1.154269691825593
15,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.4637365690410968 -0.22779779265133238 -1.633688538646045,0.8528256375021986
16,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,0.867599806911423 -0.2868126906888874 -1.0434168637551031,0.09408624147328619
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,0.6454824938193849 0.3411311325130327 -0.8704586573883595,0.14506361984089264
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-0.7179290220766439 -0.6379633142313856 0.2929464313590509,0.10597844180216841
19,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,0.6837081000917704 -0.08394591568138679 -0.5688445291504779,0.04910178230425797
