,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.9489546690240567 -0.778622228638717 1.8273109542640669,2.3612167832553577
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-8.125164806243788 -7.4124786357737955 0.8531317957911332,11.728141644679104
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.33485517434077616 -0.5756577030231543 1.3419292473272668,2.4286571117764226
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.9262355504914616 -0.20969532740429764 1.4655525415383701,0.6744632280278872
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.0639164906252809 0.018783322254913002 0.07647051022142305,1.2890479807070976
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.10119844183100733 -0.7178753859492987 1.114866950884701,1.897369926976856
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-3.071871604057861 0.05723681511053957 0.20423963577454304,2.5185753063700473
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,0.9048674230529683 0.4855900128352834 0.44812136074047326,1.7568194365282295
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,4.9386720377816 -5.767011036870412 0.15257735877943912,8.618485439163969
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.361463006134961 -0.21188120467412064 -1.5195401658717662,0.7017691904723582
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.08681510792253466 -0.18607918891246958 0.5548781602661631,0.3482375929428957
11,0.8969754088827306 0.5653212772241771 0.944461869046135,0.3806542536658829 0.23715689207636645 0.4002088037092681,0.8188350249790716
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,1.3388928963957607 -0.16438973031350676 -1.113957695003083,0.9019794620816668
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-0.9630108357765149 -1.5083732645443064 0.477052696613272,3.170532896665303
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.4120681696618775 8.30127361765729 3.406043297501203,10.16754096709875
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,1.7580713998108224 -0.5811863771592569 -2.1143404270437256,1.5123044913618824
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,10.218588338693493 7.2832420220825576 6.089899125930263,12.72069172503541
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.36122710246566575 -0.19090496138690666 0.4871290261708223,1.7074780753890966
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,1.9036250845691107 1.6915919689287366 -0.776762267608341,3.6521005390877854
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.504210997431524 0.576647654172258 0.5719697183346787,1.792777785595857
