,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.5097281935509925 -0.6626518134939 1.5551455803892806,1.8320817560593663
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-7.664721212035283 -6.992422133975001 0.8047858139243084,11.10303177499106
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.2913949717100078 -0.5009442079469565 1.167762856977134,2.2342257355759236
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.7998494366100792 -0.18108211177502168 1.2655758829921324,0.4377967275838613
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,-0.007554539639613063 -0.002220074211681465 -0.009038348242803747,1.4022634934771099
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.07452688681703662 -0.5286743221473897 0.8210359918721659,1.546881013474601
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-1.3575201815542894 0.025294068781328356 0.0902574922307912,0.8084449233661968
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,0.19057003028714073 0.1022679136142754 0.09437681047296098,0.8741869618749327
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,5.182830848220667 -6.05212139523787 0.16012050117369633,8.99392847479166
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.1540657122492917 -0.17960446393520105 -1.2880623240704998,0.40256400739450515
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.054862376245428016 -0.11759181918738477 0.35065249732865184,0.5654055117168876
11,0.8969754088827306 0.5653212772241771 0.944461869046135,-0.06460265800894995 -0.04024903293665242 -0.0679213544291416,1.5219288979612735
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,1.6405780779007348 -0.20143074065921013 -1.3649594967980874,1.2961179995353986
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-0.7962688136740658 -1.2472036090517096 0.3944526589734224,2.850671920565574
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.3743703374161995 8.079655407582592 3.3151125254539426,9.925046315936333
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,-0.3074210459433969 0.10162779735429288 0.3697191966333861,1.7903024071313975
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,0.9266716394819782 0.6604800586584938 0.5522618800423458,0.10918924924444792
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.14565986357866934 -0.07697980146645009 0.19642808364302133,1.3294251390857545
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.240686228121382 1.9911099402418837 -0.9142979516622132,4.123349200666902
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.2786591741999673 0.31869229337428834 0.3161069675005952,1.365838982992966
