,original position,computed position,offset
0,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.2468468031425105 -0.1304561011638972 0.33288267133726807,1.506797399871616
1,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,4.765259547021178 -5.564512927966674 0.14721988219116297,8.35182909187454
2,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.3900959893410483 8.172103450990772 3.353044299916569,10.02620296126271
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-0.1430029805518074 -0.032375195284493584 0.22626898901047435,0.8077292095231322
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.2486281438054711 0.07306506507245354 0.29746190421614993,0.9966518467200717
5,0.8969754088827306 0.5653212772241771 0.944461869046135,0.8741038456566623 0.5445880333440071 0.919007343327837,0.04001135695952024
6,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.5029936201266033 0.5752553843274885 0.5705887429935028,1.7904725517329363
7,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,1.5417885590850327 -0.5096872101421152 -1.854228378197698,1.166647715195276
8,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.1043397018742487 -0.22364134032354743 0.6668864809839734,0.22960814391476544
9,0.9685122892509723 0.5731579252684238 0.5017990501803438,16.877106244031427 12.029063637120508 10.058128496533621,21.809277149510507
10,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,1.1550318211210155 -0.14181520425475277 -0.9609854444480227,0.6618046289695504
