,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-5.952009508071002 -6.829705867876038 9.08726499531097,11.772958319955924
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-5.5832754260540725 -8.48291925690784 8.556968659677397,13.816004068179389
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-4.75274704262244 -7.787358091803851 10.969723701689592,15.17180311194371
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,-4.388657355601789 -5.868421399569883 8.533113054912763,10.298200647928672
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,-2.9393570608606923 -5.625447251535623 7.566622905079958,9.640132554598445
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,-3.2416808618650474 -8.30385539593906 10.381472769210893,14.223751720078269
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-5.154191798802916 -6.625092810172026 8.165191522024779,11.327378798033397
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-4.522441057265915 -7.115024137676724 7.847045799684173,11.404886350197916
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,-3.4137749535562034 -6.377455182745618 7.221734646876831,10.535891129217323
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-3.587712952203693 -6.948327243885541 9.524306647976822,12.72356240420815
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-2.5434854798720052 -5.861850652483289 8.094964759872035,9.429034233347858
11,0.8969754088827306 0.5653212772241771 0.944461869046135,-3.6218086502417064 -5.657092261397923 7.474107395970444,10.088315534612672
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,-6.600075067691816 -4.0452732975343215 6.833207433729514,11.078675482863801
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-2.901438749917635 -5.450250773606779 5.489322542850625,9.40272344134797
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.650174319327285 -4.179218040786487 4.5927431192593495,6.227046496161201
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,-5.772262054389189 -3.8543155223627217 8.608346462964855,12.181784073452482
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,-4.979525629885815 -6.505810451437151 5.927023128733605,10.72026140858518
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-5.761183365955793 -5.542759887884464 8.914933670810568,13.01920636243625
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,-5.784728628096281 -8.571762387411137 8.423462744716604,12.470627290433496
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,-3.680512953420653 -5.6672791719008355 6.576942668295105,9.262598329699602
