,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.94563962337439 -0.7777469462008769 1.8252567961268962,2.357222426610211
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-8.909029639950726 -8.12758798699853 0.9354365895011665,12.792341899509536
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.337678826670245 -0.5805119126596573 1.3532450098883722,2.4412895284575638
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.4415308686190232 0.09996049061714767 -0.698620006896636,1.9083882007208748
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.4099329580095787 0.12046817304700536 0.490449055461295,0.7417569326188842
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.13813271781028008 -0.9798775190222049 1.5217586272694772,2.3827222704666142
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-3.9647074090501313 0.0738726269155989 0.26360164145772613,3.4125179569791593
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,1.5945362971764554 0.8556954104943123 0.7896690244742752,2.6102016572981426
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,4.611406004738634 -5.384854293091296 0.14246666777628633,8.115248583771649
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-1.4472313306027367 -0.2252291221931604 -1.6152669049759714,0.8283720983687749
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.13723504083313498 -0.29414909109351967 0.8771368118264544,0.03285158170154255
11,0.8969754088827306 0.5653212772241771 0.944461869046135,1.7572379992195137 1.0948021689498426 1.8475088895693608,1.354952272337086
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.856393806015473 -0.3507090139204519 -2.376517097622683,2.8846782921975365
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.1927052845074297 -1.8681459198546542 0.5908378712897605,3.6113931324390456
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.3941295258970487 8.195815826439475 3.3627735753488475,10.052149042945873
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,3.114009434312799 -1.029434789601121 -3.7450561097072583,3.6797580819050895
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,30.783068378062318 21.940460829681452 18.345565453415833,40.790555127811764
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.36739580686006157 -0.19416506082623744 0.49544776788169226,1.7183053271571924
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,1.3044566212979463 1.159161203689954 -0.5322753368662713,2.814539026823724
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.6806961697448289 0.7784872830757805 0.7721719646412898,2.1270380177136508
