,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-1.9697013044672382 -0.5200667326447661 1.2205195312386277,1.182045224773866
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-7.934068833103161 -7.2381443481543215 0.8330669657696381,11.468704592571536
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.33922053724512635 -0.583162304937483 1.3594234018317541,2.4481868127170627
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.31077939804493143 0.07035897897566552 -0.49173618570443073,1.6620220869095679
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.6875662713422078 0.20205707040369741 0.8226131169940007,0.30717537338934936
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.1616621122943653 -1.146788914502214 1.780973530285878,2.6919220402568684
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-3.721609111129008 0.06934308462827869 0.24743875634259477,3.16906130369091
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.9022071504373079 -0.4841623983796482 -0.4468039025647244,0.48915781755263305
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,4.175665925703334 -4.876029688869929 0.12900473512213623,7.445211588787335
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-0.8358067139087663 -0.13007458345890066 -0.9328508134019512,0.18643473148498632
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.1550773185219769 -0.3323921646798966 0.9911756059471347,0.122944493158323
11,0.8969754088827306 0.5653212772241771 0.944461869046135,1.7509678022957889 1.090895683206372 1.8409165870121236,1.3450511237846614
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.619488150240751 -0.3216216560239473 -2.1794118034274437,2.575135537598157
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.101140207659643 -1.7247266469325806 0.545478706882627,3.435621823843505
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.2978111652278275 7.6295789524004105 3.130444489662948,9.432572812543535
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,2.631209855249027 -0.8698300441509179 -3.1644183334007483,2.9079732883964606
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,38.77397637488174 27.635936074207446 23.107849832849173,51.69797489125866
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.62740400765439 -0.33157683085708184 0.8460791041929192,2.1749424149116816
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,1.925286717584386 1.7108408455796849 -0.7856011610004464,3.6823845689138914
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.8050769458895993 0.920737022080625 0.913267731810539,2.362673649443352
