,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-2.0070601977093827 -0.5299307244589573 1.2436688578721042,1.2269781648210207
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-8.065826914361182 -7.358345474618258 0.8469013938894556,11.647582873597777
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.34546455653466496 -0.5938965508959763 1.3844462557327075,2.4761212291248014
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.3321586200297027 0.07519913324459533 -0.525563836888052,1.7023024152385393
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.6772487158884536 0.19902502081719914 0.8102690611475688,0.32303717041536756
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.16450236770970922 -1.1669369465824853 1.812263605877417,2.7292458589612374
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-3.779803840216004 0.07042740109019081 0.251307951349647,3.2273387890722027
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-0.9107164980863083 -0.48872887312371255 -0.45101802316442313,0.49955597651474515
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,4.23583535169146 -4.946291034652982 0.1308636340379401,7.537734014722863
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-0.8597115026973952 -0.13379482809514237 -0.9595311466591309,0.16836663866882387
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.15619811179620233 -0.33479446893772824 0.998339148387188,0.13032338931175388
11,0.8969754088827306 0.5653212772241771 0.944461869046135,1.7763031091602228 1.1066801978358711 1.8675533912883795,1.3850576319549543
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.665708334015505 -0.3272965860846163 -2.2178669550821764,2.6355270622644515
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.1198145927214347 -1.753976518390464 0.5547295537270852,3.4714670899187694
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.3136829434524244 7.722886043851034 3.1687287347176745,9.534669380683324
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,2.680513189577516 -0.8861288282977561 -3.223712872274422,2.9867868142008516
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,39.538733543408505 28.18101249395244 23.56361670179376,52.74185278198464
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.6409778449187111 -0.33875046999193525 0.8643839602871499,2.1987927272465795
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,1.9544259350287874 1.736734424420066 -0.797491235785613,3.7231229474574947
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.8125764259444451 0.9293139027975629 0.9217750343415774,2.3768823910664567
