,original position,computed position,offset
0,-0.9450091404861356 -0.28149477824782454 0.6817057368145725,-1.212276250917054 -0.32008129732533513 0.7511833586875777,0.2788328669897795
1,0.5812613831893376 0.3933166323329458 -0.05075408086126254,-7.348341634350045 -6.7037932979685175 0.7715663674639944,10.673508528046773
2,0.1973895539656756 0.35119748659011174 -0.8389032481338454,-0.35213127789081944 -0.6053574742940832 1.4111630845504712,2.505946735131429
3,-0.5313670715866474 -0.08907275504488776 0.9322330075190404,0.21357903497502292 0.048353278647119344 -0.3379391963101332,1.4789077198385192
4,0.9320557867697403 0.27066143518541974 0.9954570581542073,0.9114218896011357 0.26784216240728 1.090436853509058,0.09723614316195109
5,-0.035782160304667965 0.3087503080545013 -0.47487788362363115,0.18874893536316129 -1.3389357817150875 2.079379348571997,3.0478703501897293
6,-0.557423006178962 -0.0753341992517127 0.14771752830516927,-3.623105618369567 0.06750771293000625 0.2408895511423732,3.0704225631666917
7,-0.5215548168590523 -0.21271217228731776 -0.3029499969218601,-3.0648629239391147 -1.6447346745589055 -1.5178251630772053,3.161491142466214
8,-0.6819133376239435 0.7640804602376339 -0.02674123830869113,3.829738399586142 -4.47208145221576 0.11831750830077896,6.913279613270844
9,-0.9148890778682102 -0.2909690668743954 -0.9840060088460709,-0.35391557453323513 -0.05507902744850798 -0.3950081114268081,0.8469084397433847
10,-0.10533502604427758 -0.29650049109947174 0.884625896869089,-0.16736461473699868 -0.35872871102916426 1.0697097744989996,0.2048806066652724
11,0.8969754088827306 0.5653212772241771 0.944461869046135,1.770254744433724 1.1029119189663548 1.8611943166470817,1.3755067707843438
12,0.6387662840102679 -0.07242045197179525 -0.5527702677668238,2.483932987335555 -0.30497814650008925 -2.0666300288567285,2.398018894961382
13,0.8563276462929132 0.9863602491364221 -0.2430799524288303,-1.0408123512252718 -1.6302345370078792 0.5155937195868102,3.3198334575202018
14,0.19096699753412838 -0.9804442595565641 -0.42264849189279796,-1.1833768740612622 6.956842052988688 2.8544180492925024,8.696464810488582
15,0.8275965092979563 -0.24070755982610015 -0.9718188615291807,2.303639442790967 -0.7615412332974173 -2.7704665485995226,2.3843456039634376
16,0.9685122892509723 0.5731579252684238 0.5017990501803438,45.964737561000256 32.76111112829859 27.393276430992685,61.513219520922576
17,0.5339409242665714 0.25245702495262057 -0.8976401715368085,-0.825137779582837 -0.4360771793559199 1.11273091161023,2.5224524109908555
18,-0.6763482532459633 -0.6957004500860358 0.21440413107718514,2.5301504805915487 2.2483325460688754 -1.0324120230530998,4.52808071204022
19,-0.4291353054952629 -0.5708976236460417 -0.44097485206184817,0.90683669467775 1.0371159204520646 1.0287025302355193,2.555480454099713
